Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
35,"Akermanis, Jason",3,1,4,7,1,,,1.0,,,,,1.0,1.0,,,,,,,,,
10,"Ashcroft, Marcus",8,4,6,14,,1.0,,2.0,,,,,2.0,1.0,,,,,,,,,
36,"Bartlett, Trent",8,2,4,12,,,,1.0,,,,,3.0,1.0,,,,,,,,,
25,"Bews, Andrew",3,2,5,8,,,,,,,,,,,,,,,,,,,
5,"Chapman, Nathan",4,3,1,5,,,,,,,,,,3.0,,,,,,,,,
16,"Clarke, Matthew",7,3,11,18,,1.0,11.0,,,,,,,3.0,,,,,,,,,
6,"Fletcher, Adrian",11,4,12,23,1,,,1.0,,,,,2.0,,,,,,,,,,
8,"Gowers, Andrew",12,3,5,17,,1.0,1.0,,,,,,3.0,4.0,,,,,,,,,
32,"Hart, Shaun",18,2,9,27,3,1.0,,1.0,,,,,,3.0,,,,,,,,,
41,"Kennedy, Matthew",8,1,1,9,,,,,,,,,2.0,2.0,,,,,,,,,
18,"Lambert, Craig",7,1,17,24,,,,,,,,,,,,,,,,,,,
44,"Lappin, Nigel",2,,4,6,,,,,,,,,,,,,,,,,,,
2,"McAdam, Gilbert",9,4,4,13,1,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,
7,"McIvor, Scott",5,2,5,10,,1.0,,3.0,,,,,1.0,1.0,,,,,,,,,
19,"McLean, Michael",14,4,7,21,,,1.0,1.0,,,,,1.0,,,,,,,,,,
4,"McRae, Craig",10,4,6,16,1,2.0,,,,,,,,1.0,,,,,,,,,
24,"Merrett, Roger",4,3,,4,2,1.0,,,,,,,1.0,1.0,,,,,,,,,
22,"Scott, Chris",9,2,4,13,,1.0,,1.0,,,,,2.0,2.0,,,,,,,,,
38,"Scott, Dion",1,1,1,2,,,1.0,1.0,,,,,,,,,,,,,,,
3,"Voss, Michael",9,2,6,15,1,,,3.0,,,,,,1.0,,,,,,,,,
33,"White, Darryl",5,3,2,7,1,,1.0,5.0,,,,,1.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,157,51,114,271,11,14.0,15.0,21.0,,,,,20.0,25.0,,,,,,,,,
Opposition,Opposition,198,80,104,302,19,15.0,16.0,18.0,,,,,25.0,20.0,6.0,,,,,,,,
