Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
16,"Brown, Leigh",10,8,7,17,,,,2.0,4.0,2.0,,4.0,1.0,1.0,,7.0,9.0,,,4.0,1.0,,100.0
24,"Firrito, Michael",11,4,7,18,1,,,4.0,4.0,5.0,1.0,1.0,,1.0,,7.0,11.0,1.0,,5.0,3.0,,100.0
15,"Green, Kasey",7,2,2,9,1,,,1.0,2.0,3.0,,2.0,1.0,1.0,,2.0,8.0,,,4.0,,1.0,81.0
31,"Hale, David",5,4,8,13,2,,10.0,,,,1.0,2.0,2.0,,,10.0,3.0,1.0,1.0,4.0,,,88.0
39,"Harding, Leigh",11,7,5,16,1,2.0,,,2.0,2.0,1.0,4.0,,1.0,,4.0,12.0,1.0,2.0,3.0,1.0,,71.0
4,"Harris, Daniel",6,1,7,13,,,,8.0,,,4.0,,1.0,,,8.0,6.0,,,,,1.0,81.0
29,"Harvey, Brent",21,4,12,33,,1.0,,1.0,2.0,6.0,3.0,3.0,,1.0,,12.0,19.0,,,1.0,1.0,,90.0
21,"Jones, Corey",11,8,5,16,,,1.0,2.0,2.0,6.0,,3.0,,1.0,,3.0,15.0,,,,2.0,1.0,79.0
25,"Lower, Ed",4,2,3,7,1,1.0,,3.0,,3.0,,1.0,1.0,,,2.0,5.0,,,1.0,,,67.0
35,"Makepeace, Troy",6,6,5,11,,,,1.0,1.0,1.0,3.0,2.0,1.0,2.0,,5.0,7.0,1.0,,3.0,7.0,,73.0
5,"McConnell, Daniel",11,5,6,17,,,,3.0,,4.0,2.0,3.0,,,,4.0,12.0,,,2.0,1.0,,65.0
1,"McIntosh, Hamish",6,5,6,12,,,9.0,,1.0,2.0,,2.0,1.0,,,2.0,10.0,,,,,,46.0
20,"Petrie, Drew",11,4,6,17,,,,4.0,6.0,3.0,,3.0,2.0,,,5.0,12.0,,,5.0,4.0,,100.0
3,"Rawlings, Brady",17,6,5,22,,,,1.0,4.0,2.0,,,,,,,22.0,,,2.0,6.0,,85.0
26,"Rocca, Saverio",10,7,,10,2,4.0,5.0,1.0,,3.0,1.0,1.0,1.0,1.0,,6.0,4.0,3.0,4.0,2.0,,,98.0
32,"Sansbury, Eddie",7,5,6,13,1,,,2.0,,1.0,1.0,1.0,,,,3.0,10.0,,,2.0,,,74.0
34,"Schwarze, Ben",3,3,8,11,,,,1.0,1.0,2.0,,1.0,,,,3.0,9.0,,,3.0,2.0,,89.0
9,"Sinclair, Jess",13,9,11,24,1,,,1.0,4.0,1.0,3.0,3.0,1.0,1.0,,4.0,20.0,,1.0,1.0,8.0,,77.0
19,"Swallow, Andrew",9,2,3,12,,1.0,,4.0,,4.0,5.0,2.0,,,,6.0,6.0,,,1.0,,,72.0
23,"Thompson, Nathan",5,4,1,6,2,,,,,1.0,,1.0,1.0,,,2.0,4.0,,1.0,1.0,,,79.0
36,"Watt, Shannon",10,4,4,14,,,,1.0,5.0,,,2.0,,,,2.0,10.0,,,7.0,2.0,,100.0
8,"Wells, Daniel",3,1,7,10,,,,4.0,2.0,2.0,2.0,1.0,,1.0,,5.0,5.0,,,2.0,3.0,1.0,86.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,197,101,124,321,12,10.0,25.0,44.0,40.0,53.0,27.0,42.0,13.0,11.0,,102.0,219.0,7.0,9.0,53.0,41.0,4.0,
Opposition,Opposition,220,120,190,410,20,12.0,35.0,49.0,39.0,59.0,35.0,34.0,11.0,13.0,6.0,117.0,294.0,8.0,20.0,48.0,32.0,10.0,
