Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",12,1,6,18,1,,,1.0,,,,,1.0,1.0,,,,,,,,,
35,"Baxter, Darren",16,4,3,19,,,,4.0,,,,,4.0,2.0,,,,,,,,,
6,"Campbell, Tony",4,5,2,6,,,,,,,,,,,,,,,,,,,
20,"Coleman, Glenn",10,9,5,15,2,,2.0,1.0,,,,,1.0,3.0,,,,,,,,,
26,"Del-Re, Danny",5,3,4,9,1,,,1.0,,,,,,,,,,,,,,,
41,"Frost, Michael",7,3,4,11,,2.0,,2.0,,,,,1.0,,,,,,,,,,
29,"Grant, Chris",12,8,6,18,3,2.0,,2.0,,,,,,2.0,,,,,,,,,
7,"Hawkins, Doug",17,4,11,28,1,1.0,,1.0,,,,,5.0,,,,,,,,,,
10,"Hunter, Mark",13,2,1,14,,,,,,,,,2.0,3.0,,,,,,,,,
4,"Kellett, Nigel",10,1,4,14,1,,,2.0,,,,,1.0,2.0,,,,,,,,,
21,"Kolyniuk, Steven",3,1,,3,,,,,,,,,,,,,,,,,,,
46,"Kretiuk, Steven",14,4,5,19,1,,,4.0,,,,,2.0,2.0,,,,,,,,,
39,"Liberatore, Tony",10,3,15,25,1,1.0,,4.0,,,,,2.0,1.0,,,,,,,,,
27,"Macpherson, Stephen",1,,3,4,,,,2.0,,,,,1.0,,,,,,,,,,
2,"Reynolds, Keenan",18,9,2,20,,,,1.0,,,,,1.0,1.0,,,,,,,,,
33,"Royal, Brian",7,2,2,9,3,,,4.0,,,,,1.0,3.0,,,,,,,,,
17,"Standfield, Barry",13,6,3,16,,,,2.0,,,,,2.0,3.0,,,,,,,,,
8,"Toohey, Bernard",14,6,1,15,,1.0,,1.0,,,,,2.0,2.0,,,,,,,,,
24,"Wallis, Stephen",21,7,5,26,,,,2.0,,,,,3.0,2.0,,,,,,,,,
15,"Wynd, Scott",11,7,7,18,,,15.0,1.0,,,,,4.0,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,218,85,89,307,14,9.0,17.0,35.0,,,,,33.0,29.0,,,,,,,,,
Opposition,Opposition,222,67,105,327,14,18.0,12.0,32.0,,,,,29.0,33.0,6.0,,,,,,,,
