Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ablett, Gary",28y 103d,231 (130-2-99 56.71%),304 (1.32),39 (6-0-33 15.38%),42 (1.08)
11,"Bennell, Harley",19y 328d,35 (5-0-30 14.29%),39 (1.11),←,
30,"Brown, Campbell",28y 363d,191 (79-1-111 41.62%),85 (0.45),32 (4-0-28 12.50%),21 (0.66)
28,"Caddy, Josh",19y 332d,23 (3-0-20 13.04%),17 (0.74),←,
27,"Coad, Michael",28y 347d,5 (1-0-4 20.00%),,←,
23,"Dixon, Charlie",21y 337d,21 (5-0-16 23.81%),10 (0.48),←,
15,"Flanagan, Piers",20y 147d,2 (1-0-1 50.00%),,←,
49,"Gillbee, Jacob",19y 347d,2 (1-0-1 50.00%),1 (0.50),←,
5,"Harbrow, Jarrod",24y 38d,104 (46-1-57 44.71%),26 (0.25),34 (6-0-28 17.65%),5 (0.15)
40,"Hickey, Tom",21y 172d,11 (1-0-10 9.09%),5 (0.45),←,
29,"Hine, Taylor",20y 214d,8 (2-0-6 25.00%),1 (0.13),←,
42,"Horsley, Kyal",24y 358d,12 (2-0-10 16.67%),3 (0.25),←,
19,"Lynch, Tom",19y 299d,29 (4-0-25 13.79%),26 (0.90),←,
6,"Magin, Alik",21y 134d,7 (1-0-6 14.29%),3 (0.43),←,
32,"Matera, Brandon",20y 167d,28 (5-0-23 17.86%),25 (0.89),←,
45,"May, Steven",20y 228d,16 (2-0-14 12.50%),3 (0.19),←,
18,"McKenzie, Trent",20y 144d,38 (6-0-32 15.79%),17 (0.45),←,
26,"Shaw, Matt",20y 202d,33 (5-0-28 15.15%),11 (0.33),←,
25,"Stanley, Danny",24y 189d,39 (7-0-32 17.95%),21 (0.54),34 (6-0-28 17.65%),21 (0.62)
20,"Toy, Josh",20y 129d,13 (4-0-9 30.77%),1 (0.08),←,
14,"Warnock, Matthew",28y 144d,76 (14-1-61 19.08%),1 (0.01),21 (3-0-18 14.29%),
4,"Weller, Maverick",20y 194d,27 (4-0-23 14.81%),3 (0.11),←,
Totals,Totals,22y 207d,951 (328-5-618 34.49%),602 (0.63),,
C,"McKenna, Guy",43y 106d,43 (6-0-37 13.95%),,←,
