Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
12,"Cook, James",23y 145d,32 (19-0-13 59.38%),42 (1.31),7 (3-0-4 42.86%),7 (1.00)
16,"Croft, Matthew",24y 95d,51 (28-2-21 56.86%),27 (0.53),←,
14,"Darcy, Luke",21y 324d,34 (13-1-20 39.71%),29 (0.85),←,
21,"Dent, Matthew",25y 135d,55 (9-0-46 16.36%),11 (0.20),8 (5-0-3 62.50%),2 (0.25)
28,"Dimattina, Paul",22y 191d,19 (10-0-9 52.63%),8 (0.42),←,
32,"Ellis, Craig",21y 362d,32 (15-0-17 46.88%),,←,
3,"Grant, Chris",24y 170d,153 (77-3-73 51.31%),286 (1.87),←,
6,"Johnson, Brad",20y 318d,62 (26-2-34 43.55%),37 (0.60),←,
4,"Kellett, Nigel",27y 165d,100 (48-2-50 49.00%),41 (0.41),←,
2,"Kolyniuk, Steven",26y 331d,130 (65-1-64 50.38%),135 (1.04),←,
39,"Liberatore, Tony",31y 110d,183 (95-3-85 52.73%),87 (0.48),←,
1,"Minton-Connell, Simon",28y 36d,97 (27-0-70 27.84%),287 (2.96),10 (7-0-3 70.00%),35 (3.50)
10,"Montgomery, Brett",24y,6 (6-0-0 100.00%),7 (1.17),←,
36,"Romero, Jose",25y 304d,136 (69-1-66 51.10%),122 (0.90),47 (20-1-26 43.62%),24 (0.51)
38,"Sir, Sedat",22y 87d,22 (8-1-13 38.64%),,←,
5,"Smith, Rohan",24y 1d,85 (42-2-41 50.59%),47 (0.55),←,
8,"Southern, Daniel",22y 151d,52 (24-1-27 47.12%),9 (0.17),←,
34,"West, Mark",24y 59d,6 (3-0-3 50.00%),,←,
7,"West, Scott",22y 199d,88 (42-1-45 48.30%),37 (0.42),←,
24,"Wira, Brad",25y 77d,32 (12-1-19 39.06%),2 (0.06),31 (12-1-18 40.32%),2 (0.06)
15,"Wynd, Scott",27y 127d,156 (75-3-78 49.04%),25 (0.16),←,
Totals,Totals,24y 213d,1531 (713-24-794 46.57%),1239 (0.81),,
C,"Wallace, Terry",38y 170d,20 (10-0-10 50.00%),,←,
