Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
29,"Ambrose, Patrick",24y 277d,40 (16-1-23 41.25%),20 (0.50),←,
12,"Baguley, Mark",29y 14d,82 (33-1-48 40.85%),3 (0.04),←,
24,"Bird, Craig",27y 135d,145 (85-2-58 59.31%),57 (0.39),8 (0-0-8 0.00%),1 (0.13)
28,"Brown, Mitch",25y 281d,26 (14-0-12 53.85%),22 (0.85),11 (1-0-10 9.09%),13 (1.18)
17,"Cooney, Adam",30y 248d,241 (108-2-131 45.23%),199 (0.83),22 (4-0-18 18.18%),13 (0.59)
51,"Crowley, Ryan",32y 91d,196 (105-1-90 53.83%),118 (0.60),8 (1-0-7 12.50%),2 (0.25)
6,"Daniher, Joe",22y 92d,59 (21-1-37 36.44%),80 (1.36),←,
49,"Dea, Matt",24y 235d,42 (14-1-27 34.52%),1 (0.02),11 (1-0-10 9.09%),
15,"Dempsey, Courtenay",28y 281d,124 (52-3-69 43.15%),31 (0.25),←,
19,"Edwards, Shaun",22y 174d,23 (2-0-21 8.70%),10 (0.43),11 (2-0-9 18.18%),8 (0.73)
13,"Fantasia, Orazio",20y 264d,18 (3-1-14 19.44%),12 (0.67),←,
8,"Gleeson, Martin",21y 284d,40 (10-1-29 26.25%),4 (0.10),←,
9,"Goddard, Brendon",31y 15d,280 (158-4-118 57.14%),151 (0.54),75 (32-1-42 43.33%),47 (0.63)
42,"Gwilt, James",29y 298d,147 (69-3-75 47.96%),25 (0.17),21 (3-0-18 14.29%),
41,"Hams, Will",21y 326d,6 (2-0-4 33.33%),1 (0.17),←,
30,"Langford, Kyle",19y 186d,18 (3-0-15 16.67%),9 (0.50),←,
22,"Leuenberger, Matthew",27y 363d,118 (36-1-81 30.93%),27 (0.23),10 (1-0-9 10.00%),
43,"McDonald-Tipungwuti, Anthony",23y 43d,11 (1-0-10 9.09%),1 (0.09),←,
20,"Merrett, Jackson",23y 98d,47 (22-0-25 46.81%),20 (0.43),←,
7,"Merrett, Zach",20y 245d,48 (17-1-30 36.46%),19 (0.40),←,
3,"Parish, Darcy",18y 315d,10 (1-0-9 10.00%),5 (0.50),←,
11,"Zaharakis, David",26y 104d,137 (62-2-73 45.99%),101 (0.74),←,
Totals,Totals,25y 49d,1858 (834-25-999 44.89%),916 (0.49),,
C,"Worsfold, John",47y 253d,292 (150-2-140 51.71%),,11 (1-0-10 9.09%),
