North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
33,"Allison, Brett",9,1,5,14,,1.0,,1.0,,,,,,1.0,,,,,,,,,
5,"Anderson, Stuart",15,,5,20,,,,,,,,,4.0,,1.0,,,,,,,,
11,"Archer, Glenn",2,,1,3,,,,3.0,,,,,,2.0,,,,,,,,,
14,"Armstrong, Matt",15,4,10,25,,,,1.0,,,,,1.0,2.0,,,,,,,,,
12,"Blakey, John",8,2,3,11,,,,,,,,,,2.0,,,,,,,,,
9,"Campbell, Warren",7,1,1,8,1,2.0,,2.0,,,,,,1.0,,,,,,,,,
16,"Capuano, Mathew",5,6,7,12,1,,11.0,,,,,,1.0,1.0,,,,,,,,,
18,"Carey, Wayne",12,5,2,14,4,1.0,,1.0,,,,,1.0,3.0,,,,,,,,,
25,"Daniltchenko, Jason",7,3,4,11,,,,,,,,,,,,,,,,,,,
6,"Fairley, Ian",6,,,6,,,,2.0,,,,,3.0,1.0,,,,,,,,,
34,"King, David",6,1,1,7,,,,2.0,,,,,,,,,,,,,,,
7,"Laidley, Dani",12,1,3,15,,,,2.0,,,,,1.0,,,,,,,,,,
35,"Longmire, John",9,6,6,15,3,,,,,,,,2.0,2.0,,,,,,,,,
31,"McKernan, Corey",6,5,4,10,,1.0,5.0,1.0,,,,,,2.0,,,,,,,,,
3,"Rock, Anthony",14,3,4,18,1,1.0,,1.0,,,,,,2.0,,,,,,,,,
2,"Schwass, Wayne",12,2,3,15,1,,,3.0,,,,,,1.0,,,,,,,,,
8,"Scott, Robert",12,4,2,14,2,3.0,,3.0,,,,,1.0,1.0,,,,,,,,,
24,"Sholl, Craig",7,2,3,10,,,,1.0,,,,,,,,,,,,,,,
15,"Smith, Ross",8,1,5,13,1,,,1.0,,,,,1.0,1.0,,,,,,,,,
10,"Stevens, Anthony",19,4,10,29,1,,1.0,2.0,,,,,,,,,,,,,,,
36,"Stevens, Mark",6,2,3,9,3,2.0,,1.0,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,197,53,82,279,18,13.0,17.0,27.0,,,,,15.0,22.0,1.0,,,,,,,,
Opposition,Opposition,184,60,78,262,12,12.0,23.0,26.0,,,,,22.0,15.0,5.0,,,,,,,,
