Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
18,"Cameron, Jeremy",10,1.0,5,15,3.0,2.0,,1.0,,3.0,1.0,2.0,1.0,,,4,11,,,2.0,,,90.0
16,"Daniels, Brent",10,2.0,6,16,,,,3.0,,3.0,2.0,1.0,,,,5,9,,,1.0,1.0,1.0,84.0
1,"Davis, Phil",11,13.0,6,17,,,,1.0,2.0,1.0,,,1.0,,3.0,4,13,2.0,,3.0,,,94.0
31,"Finlayson, Jeremy",9,5.0,5,14,3.0,3.0,,1.0,,4.0,1.0,,,,,4,10,2.0,2.0,3.0,1.0,1.0,81.0
4,"Greene, Toby",19,8.0,11,30,,,,6.0,4.0,5.0,2.0,6.0,2.0,1.0,1.0,13,18,1.0,,,1.0,,93.0
9,"Hately, Jackson",9,7.0,6,15,1.0,1.0,,2.0,1.0,2.0,,5.0,1.0,3.0,,5,10,1.0,1.0,1.0,,,86.0
19,"Haynes, Nick",16,10.0,5,21,,,,1.0,3.0,2.0,,3.0,,,,3,18,1.0,,4.0,1.0,,88.0
37,"Hill, Bobby",3,,6,9,,,,4.0,,1.0,,2.0,,,,7,4,,,2.0,1.0,,66.0
27,"Himmelberg, Harry",7,2.0,8,15,1.0,,,2.0,,1.0,2.0,2.0,,,,9,6,1.0,,1.0,1.0,,98.0
2,"Hopper, Jacob",13,2.0,18,31,,,,7.0,1.0,5.0,7.0,4.0,1.0,2.0,,15,15,,,,,1.0,73.0
25,"Keeffe, Lachlan",7,4.0,2,9,,,,3.0,4.0,,,2.0,1.0,1.0,,3,5,,,9.0,,,85.0
38,"Lloyd, Daniel",8,3.0,7,15,,,,3.0,3.0,2.0,1.0,2.0,,,,4,12,,,4.0,,,75.0
41,"Mumford, Shane",2,1.0,3,5,,,6.0,2.0,,1.0,2.0,5.0,1.0,4.0,,4,1,,,,,,78.0
36,"Perryman, Harry",13,6.0,2,15,,,,2.0,4.0,1.0,,4.0,,,,2,11,,,,,,70.0
50,"Reid, Sam",12,9.0,12,24,,,,1.0,,2.0,1.0,3.0,,1.0,,10,14,,,1.0,,,94.0
23,"Shaw, Heath",14,6.0,5,19,,,,1.0,7.0,,,2.0,,1.0,,7,7,1.0,,4.0,4.0,,96.0
26,"Simpson, Dawson",1,1.0,3,4,,,21.0,2.0,,,1.0,2.0,1.0,1.0,,1,3,,,3.0,,,85.0
14,"Taranto, Tim",18,2.0,13,31,,,,5.0,5.0,4.0,7.0,5.0,3.0,,,15,16,,,1.0,,1.0,87.0
15,"Taylor, Sam",5,2.0,3,8,,,,,2.0,,,2.0,,,,2,6,1.0,,2.0,,,28.0
20,"Tomlinson, Adam",7,6.0,6,13,,,,1.0,,2.0,1.0,2.0,,2.0,,6,8,1.0,,3.0,,,87.0
6,"Whitfield, Lachie",19,6.0,8,27,,1.0,,2.0,7.0,5.0,2.0,6.0,1.0,2.0,,8,18,,,2.0,,,88.0
29,"Williams, Zac",14,6.0,9,23,,1.0,,3.0,3.0,1.0,3.0,5.0,1.0,,,9,15,,1.0,1.0,,,76.0
Totals,Totals,227,102.0,149,376,8.0,8.0,27.0,53.0,46.0,45.0,33.0,65.0,14.0,18.0,4.0,140,230,11.0,4.0,47.0,10.0,4.0,
Opposition,Opposition,228,102.0,194,422,7.0,13.0,42.0,67.0,36.0,53.0,39.0,54.0,18.0,14.0,2.0,141,276,5.0,7.0,46.0,5.0,6.0,
