Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
21,"Atkins, Rory",24y 289d,83 (55-1-27 66.87%),41 (0.49),←,
18,"Betts, Eddie",32y 152d,301 (146-3-152 49.00%),577 (1.92),117 (71-0-46 60.68%),287 (2.45)
2,"Crouch, Brad",25y 103d,67 (38-0-29 56.72%),26 (0.39),←,
5,"Crouch, Matt",24y 6d,96 (60-1-35 63.02%),21 (0.22),←,
28,"Ellis-Yolmen, Cam",26y 89d,32 (16-0-16 50.00%),13 (0.41),←,
7,"Gallucci, Jordan",20y 358d,18 (12-0-6 66.67%),17 (0.94),←,
1,"Greenwood, Hugh",27y 52d,39 (24-1-14 62.82%),28 (0.72),←,
15,"Hartigan, Kyle",27y 171d,87 (56-0-31 64.37%),1 (0.01),←,
34,"Himmelberg, Elliott",20y 327d,3 (3-0-0 100.00%),4 (1.33),←,
42,"Keath, Alex",27y 97d,18 (10-1-7 58.33%),,←,
8,"Kelly, Jake",24y 96d,59 (34-1-24 58.47%),1 (0.02),←,
3,"Knight, Riley",24y 31d,45 (32-1-12 72.22%),32 (0.71),←,
29,"Laird, Rory",25y 119d,127 (77-1-49 61.02%),12 (0.09),←,
27,"Lynch, Tom",28y 224d,129 (80-1-48 62.40%),177 (1.37),123 (76-1-46 62.20%),173 (1.41)
14,"Mackay, David",30y 276d,208 (124-1-83 59.86%),59 (0.28),←,
44,"Murphy, Lachlan",20y 144d,17 (9-0-8 52.94%),19 (1.12),←,
43,"OBrien, Reilly",23y 250d,6 (4-0-2 66.67%),1 (0.17),←,
10,"Poholke, Myles",20y 291d,11 (5-0-6 45.45%),3 (0.27),←,
9,"Sloane, Rory",29y 41d,183 (107-1-75 58.74%),114 (0.62),←,
33,"Smith, Brodie",27y 103d,151 (92-1-58 61.26%),49 (0.32),←,
12,"Talia, Daniel",27y 207d,170 (101-1-68 59.71%),6 (0.04),←,
13,"Walker, Taylor",29y 2d,173 (99-1-73 57.51%),393 (2.27),←,
Totals,Totals,25y 289d,2023 (1184-16-823 58.53%),1594 (0.79),,
C,"Pyke, Don",50y 143d,77 (49-1-27 64.29%),,←,
