Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",7,3,5,12,1.0,,,,,,,,1.0,3.0,,,,,,,,,
11,"Buckley, Nathan",20,3,8,28,,3.0,,1.0,,,,,1.0,3.0,3.0,,,,,,,,
1,"Champion, Richard",11,5,6,17,1.0,,2.0,1.0,,,,,1.0,1.0,,,,,,,,,
5,"Chapman, Nathan",5,3,3,8,1.0,,,1.0,,,,,1.0,4.0,,,,,,,,,
12,"Clarke, Troy",6,1,10,16,,,,,,,,,,,,,,,,,,,
20,"Craven, Danny",23,7,11,34,,,,2.0,,,,,3.0,,,,,,,,,,
6,"Fletcher, Adrian",1,3,13,14,,,,2.0,,,,,1.0,2.0,,,,,,,,,
4,"Gastev, John",11,6,13,24,,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,
32,"Hart, Shaun",17,6,2,19,1.0,,,3.0,,,,,2.0,2.0,,,,,,,,,
41,"Kennedy, Matthew",9,2,3,12,,,3.0,,,,,,2.0,2.0,,,,,,,,,
17,"Leslie, Martin",7,9,11,18,,,,2.0,,,,,1.0,1.0,,,,,,,,,
31,"McCormack, Brendan",11,5,8,19,1.0,,1.0,2.0,,,,,2.0,2.0,,,,,,,,,
7,"McIvor, Scott",5,3,6,11,,,,2.0,,,,,3.0,2.0,,,,,,,,,
19,"McLean, Michael",20,9,7,27,1.0,,,5.0,,,,,1.0,,,,,,,,,,
24,"Merrett, Roger",8,5,3,11,3.0,2.0,,,,,,,2.0,2.0,,,,,,,,,
27,"Murphy, Michael",8,7,4,12,,3.0,,2.0,,,,,1.0,2.0,,,,,,,,,
26,"Noonan, Danny",15,5,8,23,,,,1.0,,,,,2.0,3.0,,,,,,,,,
38,"Scott, Dion",2,3,3,5,,,6.0,,,,,,,1.0,,,,,,,,,
15,"Spargo, Paul",7,2,2,9,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,
3,"Voss, Michael",9,6,6,15,,,,1.0,,,,,1.0,1.0,,,,,,,,,
Totals,Totals,202,93,132,334,10.0,10.0,12.0,28.0,,,,,26.0,33.0,3.0,,,,,,,,
Opposition,Opposition,238,103,118,356,16.0,17.0,17.0,30.0,,,,,33.0,26.0,3.0,,,,,,,,
