Notes,Previous,Current
Greater Western Sydney's highest score,"37 v Sydney - R1,2012","162 v Essendon - R23,2023"
Greater Western Sydney's highest score conceded,"100 v Sydney - R1,2012","193 v Hawthorn - R15,2012"
Greater Western Sydney's biggest loss,"63 v Sydney - R1,2012","162 v Hawthorn - R15,2012"
