Notes,Previous,Current
Fremantle's highest score,"121 v Fitzroy - R3,1995","180 v Collingwood - R7,2005"
Fremantle's highest score conceded,"98 v Footscray - R5,1995","181 v Brisbane Lions - R20,1999"
Fremantle's biggest win,"43 v Fitzroy - R3,1995","113 v Greater Western Sydney - R20,2013"
