Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
7,"Ash, Lachie",20y 6d,26 (13-1-12 51.92%),1 (0.04),←,
32,"Briggs, Kieren",21y 264d,3 (1-0-2 33.33%),2 (0.67),←,
44,"Buckley, Jack",23y 192d,16 (6-1-9 40.63%),,←,
13,"Cumming, Isaac",22y 320d,24 (11-1-12 47.92%),1 (0.04),←,
16,"Daniels, Brent",22y 110d,56 (32-0-24 57.14%),21 (0.38),←,
1,"Davis, Phil",30y 301d,181 (89-3-89 50.00%),7 (0.04),163 (78-3-82 48.77%),6 (0.04)
24,"de Boer, Matt",31y 109d,206 (117-5-84 58.01%),76 (0.37),68 (39-4-25 60.29%),28 (0.41)
31,"Finlayson, Jeremy",25y 138d,63 (35-3-25 57.94%),88 (1.40),←,
30,"Flynn, Matt",23y 287d,10 (2-1-7 25.00%),5 (0.50),←,
4,"Greene, Toby",27y 275d,170 (77-2-91 45.88%),212 (1.25),←,
19,"Haynes, Nick",29y 40d,156 (75-4-77 49.36%),9 (0.06),←,
37,"Hill, Bobby",21y 138d,27 (13-1-13 50.00%),23 (0.85),←,
27,"Himmelberg, Harry",25y 50d,95 (56-2-37 60.00%),109 (1.15),←,
2,"Hopper, Jacob",24y 141d,98 (57-2-39 59.18%),38 (0.39),←,
39,"Idun, Connor",20y 333d,16 (7-1-8 46.88%),,←,
22,"Kelly, Josh",26y 135d,146 (80-3-63 55.82%),96 (0.66),←,
40,"Kennedy, Adam",28y 350d,124 (49-1-74 39.92%),12 (0.10),←,
38,"Lloyd, Daniel",29y 129d,58 (31-4-23 56.90%),46 (0.79),←,
36,"Perryman, Harry",22y 190d,60 (30-1-29 50.83%),16 (0.27),←,
50,"Reid, Sam",31y 232d,102 (55-4-43 55.88%),31 (0.30),92 (49-4-39 55.43%),30 (0.33)
14,"Taranto, Tim",23y 150d,88 (50-2-36 57.95%),32 (0.36),←,
8,"Ward, Callan",31y 78d,238 (106-4-128 45.38%),118 (0.50),178 (74-4-100 42.70%),85 (0.48)
6,"Whitfield, Lachie",26y 344d,158 (77-4-77 50.00%),62 (0.39),←,
Totals,Totals,25y 251d,2121 (1069-50-1002 50.40%),1005 (0.47),,
C,"Cameron, Leon",48y 298d,174 (93-4-77 54.60%),,←,
