Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
32,"Bell, Peter",27y 57d,171 (97-0-74 56.73%),151 (0.88),48 (13-0-35 27.08%),31 (0.65)
9,"Carr, Matthew",24y 119d,76 (20-1-55 26.97%),28 (0.37),48 (13-0-35 27.08%),26 (0.54)
10,"Cook, Troy",26y 258d,114 (45-0-69 39.47%),47 (0.41),71 (21-0-50 29.58%),36 (0.51)
24,"Croad, Trent",23y 49d,108 (54-1-53 50.46%),124 (1.15),24 (10-0-14 41.67%),44 (1.83)
33,"Farmer, Jeff",25y 307d,143 (62-0-81 43.36%),294 (2.06),25 (10-0-15 40.00%),35 (1.40)
14,"Grover, Antoni",23y 47d,44 (13-0-31 29.55%),4 (0.09),←,
42,"Haddrill, Robert",22y 89d,13 (4-0-9 30.77%),,←,
39,"Haines, Daniel",22y 16d,14 (6-0-8 42.86%),4 (0.29),←,
4,"Hasleby, Paul",21y 319d,68 (20-0-48 29.41%),52 (0.76),←,
43,"Hayden, Roger",22y 139d,10 (4-0-6 40.00%),,←,
11,"Headland, Des",22y 96d,57 (42-0-15 73.68%),56 (0.98),5 (2-0-3 40.00%),4 (0.80)
28,"Koops, Steven",24y 277d,67 (24-0-43 35.82%),45 (0.67),←,
20,"Longmuir, Justin",22y 96d,61 (17-0-44 27.87%),72 (1.18),←,
8,"McManus, Shaun",27y 77d,128 (39-0-89 30.47%),63 (0.49),←,
34,"Medhurst, Paul",21y 137d,25 (10-0-15 40.00%),45 (1.80),←,
23,"Parker, Shane",30y 68d,151 (49-0-102 32.45%),9 (0.06),←,
29,"Pavlich, Matthew",21y 117d,66 (19-0-47 28.79%),58 (0.88),←,
12,"Polak, Graham",18y 315d,10 (5-0-5 50.00%),,←,
2,"Simmonds, Troy",24y 288d,65 (30-0-35 46.15%),21 (0.32),25 (10-0-15 40.00%),14 (0.56)
19,"Walker, James",24y 102d,80 (23-0-57 28.75%),8 (0.10),←,
26,"Waterhouse, Clive",28y 308d,93 (30-0-63 32.26%),168 (1.81),←,
6,"Woods, Dion",21y 92d,23 (7-0-16 30.43%),4 (0.17),←,
Totals,Totals,23y 336d,1587 (620-2-965 39.07%),1253 (0.79),,
C,"Connolly, Chris",40y 33d,28 (12-0-16 42.86%),,27 (11-0-16 40.74%),
