Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
9,"Cuthbertson, Darren",23y 116d,32 (15-1-16 48.44%),43 (1.34),←,
23,"Dyson, Kevin",26y 89d,31 (17-0-14 54.84%),12 (0.39),←,
20,"Febey, Matthew",23y 347d,25 (13-0-12 52.00%),14 (0.56),←,
21,"Febey, Steven",23y 347d,105 (60-0-45 57.14%),17 (0.16),←,
24,"Gilbert, Phil",23y 259d,13 (7-0-6 53.85%),1 (0.08),←,
14,"Grinter, Rod",28y 67d,124 (68-1-55 55.24%),54 (0.44),←,
30,"Hopgood, Paul",20y 11d,14 (9-0-5 64.29%),1 (0.07),←,
7,"Kowal, Darren",21y 44d,17 (10-0-7 58.82%),19 (1.12),←,
16,"Lovell, Andy",23y 4d,74 (35-1-38 47.97%),84 (1.14),←,
17,"Lovett, Brett",27y 73d,157 (91-1-65 58.28%),19 (0.12),←,
6,"Lovett, Glenn",24y 9d,64 (30-0-34 46.88%),41 (0.64),←,
3,"Lyon, Garry",25y 322d,145 (87-1-57 60.34%),202 (1.39),←,
38,"Neitz, David",18y 191d,17 (9-0-8 52.94%),14 (0.82),←,
25,"Norrish, Jason",21y 187d,4 (3-0-1 75.00%),1 (0.25),←,
29,"Obst, Andrew",28y 347d,69 (39-0-30 56.52%),38 (0.55),←,
41,"Rohde, Peter",28y 255d,138 (83-1-54 60.51%),23 (0.17),92 (49-1-42 53.80%),17 (0.18)
18,"Stretch, Steven",29y 208d,163 (90-1-72 55.52%),71 (0.44),←,
11,"Stynes, Jim",27y 100d,150 (87-1-62 58.33%),99 (0.66),←,
2,"Tingay, Stephen",22y 353d,74 (43-0-31 58.11%),37 (0.50),←,
12,"Viney, Todd",27y 124d,115 (60-1-54 52.61%),53 (0.46),←,
Totals,Totals,24y 282d,1531 (856-9-666 55.91%),843 (0.55),,
C,"Balme, Neil",41y 198d,17 (9-0-8 52.94%),,←,
