Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",34y 154d,307 (181-0-126 58.96%),143 (0.47),←,
16,"Brown, Leigh",25y 183d,170 (72-1-97 42.65%),75 (0.44),107 (53-1-53 50.00%),55 (0.51)
27,"Edwards, Aaron",23y 176d,18 (13-0-5 72.22%),18 (1.00),14 (9-0-5 64.29%),16 (1.14)
24,"Firrito, Michael",23y 271d,79 (42-0-37 53.16%),12 (0.15),←,
6,"Grant, Shannon",30y 128d,276 (155-2-119 56.52%),325 (1.18),218 (123-1-94 56.65%),287 (1.32)
15,"Green, Kasey",27y 349d,91 (38-1-52 42.31%),23 (0.25),37 (17-0-20 45.95%),15 (0.41)
31,"Hale, David",23y 95d,75 (33-0-42 44.00%),42 (0.56),←,
4,"Harris, Daniel",25y 107d,112 (56-1-55 50.45%),33 (0.29),←,
29,"Harvey, Brent",29y 103d,237 (133-1-103 56.33%),274 (1.16),←,
21,"Jones, Corey",26y 180d,124 (59-0-65 47.58%),164 (1.32),←,
25,"Lower, Ed",20y 63d,11 (7-0-4 63.64%),4 (0.36),←,
1,"McIntosh, Hamish",22y 355d,39 (18-0-21 46.15%),15 (0.38),←,
42,"McMahon, Scott",21y 84d,12 (8-0-4 66.67%),12 (1.00),←,
20,"Petrie, Drew",24y 314d,127 (62-1-64 49.21%),107 (0.84),←,
30,"Pratt, Daniel",24y 157d,59 (31-0-28 52.54%),4 (0.07),56 (30-0-26 53.57%),3 (0.05)
3,"Rawlings, Brady",26y 76d,154 (80-0-74 51.95%),54 (0.35),←,
32,"Sansbury, Eddie",23y 272d,35 (12-0-23 34.29%),16 (0.46),←,
7,"Simpson, Adam",31y 190d,263 (154-1-108 58.75%),74 (0.28),←,
9,"Sinclair, Jess",28y 364d,182 (74-1-107 40.93%),69 (0.38),132 (61-1-70 46.59%),43 (0.33)
19,"Swallow, Andrew",20y 84d,33 (16-0-17 48.48%),11 (0.33),←,
36,"Watt, Shannon",26y 272d,127 (65-1-61 51.57%),8 (0.06),←,
8,"Wells, Daniel",22y 203d,98 (48-1-49 49.49%),56 (0.57),←,
Totals,Totals,25y 223d,2629 (1357-11-1261 51.62%),1539 (0.59),,
C,"Laidley, Dani",40y 151d,110 (54-1-55 49.55%),,←,
