North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
30,"Comben, Charlie",6,5,2,8,,,,,,2.0,,1.0,1.0,,,1.0,7.0,,,7.0,,,92.0
25,"Curtis, Paul",8,7,4,12,2,,,6.0,,3.0,,4.0,2.0,1.0,,6.0,8.0,2.0,4.0,,,,83.0
5,"Daniel, Caleb",20,4,8,28,,,,3.0,7.0,2.0,1.0,3.0,1.0,1.0,,3.0,19.0,,,,1.0,,86.0
28,"Darling, Jack",7,4,2,9,3,,,,,2.0,,,1.0,,,5.0,5.0,2.0,1.0,,,1.0,79.0
18,"Dawson, Wil",4,7,3,7,,,,3.0,,,,3.0,,1.0,,3.0,5.0,2.0,,3.0,,,81.0
46,"Hansen, Robert",6,1,2,8,,1.0,,1.0,1.0,2.0,1.0,,1.0,,,4.0,4.0,,,,,2.0,71.0
17,"Hardeman, Riley",8,,4,12,,,,1.0,,3.0,,4.0,1.0,2.0,,4.0,8.0,,,3.0,,,81.0
37,"Harvey, Cooper",9,7,4,13,4,2.0,,1.0,,1.0,1.0,,,,,4.0,9.0,,4.0,1.0,,,71.0
41,"Konstanty, Jacob",7,5,6,13,,1.0,,3.0,1.0,,,,,,,3.0,10.0,,1.0,1.0,1.0,1.0,84.0
19,"Logue, Griffin",9,5,3,12,,,,3.0,2.0,,1.0,2.0,1.0,,,2.0,6.0,,,4.0,,,76.0
39 ↓,"Maley, Finnbar",1,1,2,3,,,4.0,,,,2.0,1.0,,1.0,,4.0,,1.0,,,,,49.0
10,"McKercher, Colby",16,3,13,29,,,,2.0,7.0,3.0,2.0,5.0,,1.0,,4.0,22.0,,,,3.0,,86.0
2,"OSullivan, Finn",8,5,7,15,,,,2.0,5.0,2.0,2.0,2.0,,1.0,,9.0,8.0,1.0,,4.0,,,89.0
26,"Parker, Luke",13,4,14,27,,,,6.0,1.0,,8.0,7.0,2.0,1.0,,13.0,12.0,,,1.0,1.0,,83.0
29,"Phillips, Will",11,2,9,20,,1.0,,4.0,1.0,5.0,8.0,3.0,,1.0,,7.0,11.0,,,,,1.0,63.0
32,"Pink, Toby",5,4,6,11,,,,1.0,4.0,1.0,,,,,,4.0,7.0,,,11.0,,,90.0
24,"Powell, Tom",6,6,21,27,,,,4.0,,5.0,3.0,1.0,,,,6.0,21.0,,,,,2.0,82.0
8 ↑,"Scott, Bailey",2,1,3,5,,,,2.0,,1.0,,,,,,,6.0,,,,,,32.0
3,"Sheezel, Harry",14,6,15,29,,,,6.0,2.0,2.0,4.0,2.0,2.0,1.0,,8.0,21.0,,,,,,88.0
12,"Simpkin, Jy",13,2,8,21,,2.0,,1.0,,6.0,2.0,1.0,,,,2.0,15.0,,,1.0,,1.0,84.0
15,"Stephens, Dylan",5,5,10,15,,,,,,1.0,2.0,1.0,,,,4.0,10.0,,,,,,81.0
38,"Xerri, Tristan",3,1,4,7,,,22.0,6.0,2.0,1.0,3.0,3.0,1.0,3.0,,5.0,2.0,,,1.0,,,83.0
44,"Zurhaar, Cameron",10,4,3,13,3,2.0,,1.0,,2.0,1.0,5.0,4.0,3.0,,7.0,7.0,,2.0,3.0,,2.0,85.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,191,89,153,344,12,11.0,26.0,56.0,33.0,44.0,41.0,48.0,17.0,17.0,,108.0,223.0,8.0,12.0,40.0,6.0,10.0,
Opposition,Opposition,201,97,140,341,18,11.0,37.0,52.0,30.0,52.0,40.0,54.0,17.0,17.0,6.0,128.0,213.0,12.0,19.0,35.0,6.0,13.0,
