Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
22,"Breust, Luke",28y 189d,194 (139-1-54 71.91%),377 (1.94),←,
9,"Burgoyne, Shaun",36y 210d,363 (244-2-117 67.49%),283 (0.78),206 (147-2-57 71.84%),112 (0.54)
18,"Ceglar, Jonathon",28y 94d,67 (49-0-18 73.13%),37 (0.55),←,
46,"Cousins, James",21y 61d,15 (7-0-8 46.67%),7 (0.47),←,
13,"Glass, Conor",21y 233d,11 (6-0-5 54.55%),,←,
19,"Gunston, Jack",27y 215d,181 (121-1-59 67.13%),351 (1.94),167 (116-1-50 69.76%),331 (1.98)
15,"Hardwick, Blake",22y 103d,53 (30-1-22 57.55%),3 (0.06),←,
31,"Henderson, Ricky",30y 250d,139 (70-1-68 50.72%),73 (0.53),49 (24-1-24 50.00%),30 (0.61)
4,"Impey, Jarman",23y 314d,108 (59-0-49 54.63%),46 (0.43),33 (19-0-14 57.58%),12 (0.36)
8,"Lewis, Mitch",20y 217d,7 (2-0-5 28.57%),5 (0.71),←,
7,"McEvoy, Ben",29y 312d,196 (114-3-79 58.93%),82 (0.42),105 (63-1-41 60.48%),55 (0.52)
36,"Moore, Dylan",19y 288d,4 (2-0-2 50.00%),1 (0.25),←,
1,"Morrison, Harry",20y 188d,29 (16-0-13 55.17%),5 (0.17),←,
23,"OBrien, Tim",25y 52d,50 (32-1-17 65.00%),37 (0.74),←,
10,"OMeara, Jaeger",25y 85d,79 (37-0-42 46.84%),51 (0.65),35 (19-0-16 54.29%),24 (0.69)
28,"Puopolo, Paul",31y 168d,177 (127-0-50 71.75%),176 (0.99),←,
35,"Scrimshaw, Jack",20y 257d,12 (4-0-8 33.33%),,8 (4-0-4 50.00%),
21,"Scully, Tom",28y 4d,160 (64-3-93 40.94%),78 (0.49),8 (3-0-5 37.50%),5 (0.63)
26,"Shiels, Liam",28y 20d,192 (133-1-58 69.53%),70 (0.36),←,
6,"Sicily, James",24y 133d,69 (39-1-29 57.25%),54 (0.78),←,
24,"Stratton, Ben",30y 79d,177 (121-1-55 68.64%),1 (0.01),←,
5,"Worpel, James",20y 115d,20 (12-0-8 60.00%),8 (0.40),←,
Totals,Totals,25y 246d,2303 (1428-16-859 62.01%),1745 (0.76),,
C,"Clarkson, Alastair",51y 22d,338 (209-2-127 62.13%),,←,
