Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
6,"Caldwell, Jye",9,3,11,20,,,,6.0,2.0,2.0,7.0,3.0,,1.0,,9.0,11.0,,,1.0,,,76.0
13,"Cox, Nik",3,4,10,13,,,,4.0,1.0,,1.0,,2.0,,,3.0,10.0,,,2.0,,,81.0
33 ↓,"Davey, Alwyn",2,,1,3,1,,,2.0,,1.0,,,,,,1.0,2.0,,,1.0,,1.0,53.0
22,"Durham, Sam",14,5,11,25,,1.0,,4.0,1.0,8.0,5.0,2.0,1.0,,,9.0,13.0,1.0,1.0,,1.0,,75.0
17,"Goldstein, Todd",3,4,9,12,,1.0,34.0,4.0,,,3.0,3.0,1.0,3.0,,6.0,6.0,1.0,1.0,,,,75.0
11,"Gresham, Jade",10,5,10,20,,1.0,,3.0,,5.0,2.0,5.0,,,,8.0,11.0,,,,1.0,,77.0
35,"Guelfi, Matt",6,3,4,10,3,,,6.0,,2.0,2.0,2.0,1.0,1.0,,7.0,3.0,1.0,2.0,,,,75.0
21,"Heppell, Dyson",7,4,10,17,,,,1.0,1.0,2.0,2.0,1.0,,,,6.0,11.0,,,,,,82.0
19,"Hind, Nick",15,4,5,20,1,,,3.0,2.0,4.0,2.0,1.0,2.0,,,10.0,10.0,,,2.0,,1.0,67.0
8 ↑,"Hobbs, Ben",3,2,1,4,,,,2.0,,,,1.0,,,,1.0,3.0,,,,,,16.0
23,"Jones, Harry",4,4,3,7,,2.0,,2.0,,2.0,,1.0,,,,1.0,6.0,,2.0,,,,72.0
29,"Kelly, Jake",14,7,3,17,,,,,6.0,1.0,,3.0,2.0,,,6.0,10.0,1.0,,4.0,,,100.0
4,"Langford, Kyle",9,5,5,14,4,1.0,,4.0,,1.0,,2.0,,,1.0,6.0,9.0,,5.0,2.0,,,89.0
15,"Laverde, Jayden",11,11,5,16,,,,,2.0,,,3.0,,2.0,,2.0,14.0,1.0,,4.0,2.0,,97.0
37,"Martin, Nic",24,10,7,31,,1.0,,1.0,4.0,4.0,2.0,5.0,,,2.0,3.0,27.0,,2.0,2.0,1.0,,96.0
1,"McGrath, Andrew",15,8,9,24,,,,3.0,3.0,2.0,,1.0,,,,5.0,16.0,,,,1.0,,90.0
32,"McKay, Ben",9,9,7,16,,,,,2.0,,,2.0,,1.0,,6.0,9.0,2.0,,3.0,,,98.0
7,"Merrett, Zach",13,2,11,24,,,,5.0,,7.0,4.0,2.0,,,,10.0,14.0,,,,,2.0,81.0
3,"Parish, Darcy",7,3,9,16,,,,3.0,,4.0,3.0,1.0,,,,7.0,8.0,,,,,,76.0
16,"Perkins, Archie",11,4,9,20,1,,,4.0,1.0,7.0,3.0,5.0,,1.0,,7.0,13.0,,,1.0,1.0,2.0,70.0
27,"Redman, Mason",21,12,5,26,1,,,1.0,3.0,3.0,,1.0,1.0,,,6.0,16.0,1.0,,4.0,2.0,,89.0
25,"Stringer, Jake",7,2,5,12,1,2.0,,2.0,1.0,2.0,2.0,,1.0,,,6.0,6.0,,2.0,,,,82.0
20,"Wright, Peter",4,2,6,10,,,21.0,2.0,1.0,,1.0,2.0,1.0,1.0,,4.0,6.0,,,5.0,,,83.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,221,113,156,377,12,10.0,55.0,62.0,30.0,57.0,39.0,46.0,12.0,10.0,3.0,129.0,234.0,8.0,15.0,31.0,9.0,6.0,
Opposition,Opposition,186,74,164,350,9,8.0,30.0,69.0,45.0,40.0,40.0,52.0,10.0,12.0,3.0,136.0,211.0,11.0,10.0,46.0,5.0,4.0,
