Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
8,"Bassett, Nathan",7,6,4,11,1,,1.0,4.0,2.0,,2.0,1.0,1.0,1.0,,7.0,4.0,2.0,2.0,3.0,1.0,,
26,"Bickley, Mark",13,6,9,22,,,,2.0,2.0,5.0,5.0,,,,,8.0,15.0,1.0,,5.0,,,
35,"Biglands, Rhett",3,,2,5,,,14.0,,,1.0,2.0,,1.0,,,4.0,,,,8.0,,,
10,"Bode, Matthew",17,5,12,29,,2.0,,2.0,2.0,5.0,4.0,2.0,1.0,2.0,3.0,7.0,21.0,,1.0,3.0,1.0,,
24,"Burton, Brett",11,7,1,12,2,2.0,,,,,,2.0,,,,4.0,6.0,2.0,7.0,1.0,,,
4,"Clarke, Matthew",2,1,4,6,,,21.0,2.0,,2.0,2.0,3.0,1.0,2.0,,4.0,2.0,1.0,,5.0,,,
11,"Doughty, Michael",8,3,6,14,,,,2.0,,4.0,2.0,1.0,,,,4.0,10.0,,,1.0,,,
9,"Edwards, Tyson",13,4,5,18,,,,3.0,3.0,2.0,1.0,1.0,,1.0,,8.0,11.0,,,1.0,,,
36,"Goodwin, Simon",7,,9,16,1,1.0,,4.0,1.0,1.0,5.0,1.0,,,,9.0,6.0,,,2.0,,,
34,"Hart, Ben",11,4,9,20,,,1.0,3.0,4.0,2.0,3.0,2.0,,1.0,,7.0,13.0,1.0,,2.0,,,
18,"Johncock, Graham",6,2,3,9,,,,2.0,4.0,3.0,1.0,2.0,,1.0,,3.0,7.0,,,2.0,,,
28,"Johnson, Kane",17,7,14,31,,1.0,,1.0,2.0,6.0,6.0,2.0,2.0,2.0,,11.0,22.0,,1.0,1.0,,,
3,"Massie, Kris",6,1,2,8,,,,1.0,,2.0,1.0,1.0,,,,,8.0,,,,,,
23,"McLeod, Andrew",15,3,10,25,1,,,3.0,2.0,10.0,3.0,2.0,3.0,1.0,2.0,9.0,16.0,,,1.0,1.0,,
6,"Nelson, Ben",2,1,6,8,,,,1.0,,,1.0,2.0,,,,2.0,6.0,,,,,,
22,"Perrie, Ian",2,,1,3,,,,,,,,1.0,,1.0,,2.0,1.0,,,,,,
32,"Ricciuto, Mark",14,6,8,22,6,,,3.0,,6.0,1.0,,2.0,,1.0,8.0,15.0,2.0,2.0,4.0,,,
27,"Schell, Daniel",2,2,1,3,1,,,,,,,2.0,,1.0,,3.0,,2.0,2.0,1.0,,,
7,"Smart, Nigel",10,4,6,16,1,,1.0,1.0,2.0,4.0,,2.0,1.0,2.0,,6.0,12.0,1.0,,3.0,,,
20,"Stenglein, Tyson",8,5,6,14,1,,,,3.0,,,,2.0,,,4.0,9.0,1.0,1.0,2.0,,,
19,"Stevens, Mark",13,9,7,20,4,1.0,2.0,1.0,,4.0,,2.0,2.0,2.0,,14.0,7.0,5.0,3.0,1.0,,,
17,"Welsh, Scott",5,2,2,7,2,,,1.0,,1.0,,,1.0,,,6.0,2.0,2.0,1.0,4.0,1.0,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,192,78,127,319,20,11.0,40.0,36.0,27.0,58.0,39.0,29.0,17.0,17.0,6.0,130.0,193.0,20.0,20.0,50.0,4.0,,
Opposition,Opposition,163,73,105,268,11,9.0,35.0,42.0,34.0,41.0,28.0,35.0,17.0,17.0,,101.0,170.0,12.0,16.0,57.0,12.0,,
