Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Armstrong, Matt",14,1,11,25,,,,2.0,,,,,1.0,2.0,,,,,,,,,
19,"Bain, David",8,2,3,11,,1.0,,4.0,,,,,2.0,,,,,,,,,,
32,"Baldwin, Jason",13,7,6,19,,,,9.0,,,,,1.0,2.0,,,,,,,,,
5,"Barker, John",8,6,1,9,,,,2.0,,,,,,1.0,,,,,,,,,
34,"Boyd, Brad",14,5,9,23,1,,,,,,,,3.0,2.0,,,,,,,,,
35,"Cook, Brett",5,3,5,10,,,8.0,2.0,,,,,,1.0,,,,,,,,,
18,"Dunstan, Michael",6,5,5,11,,,,1.0,,,,,,1.0,,,,,,,,,
6,"Guard, Jeremy",8,6,3,11,,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,
17,"Hawking, Simon",5,3,2,7,1,,,1.0,,,,,2.0,,,,,,,,,,
10,"Hogg, Jeff",5,3,2,7,,1.0,,2.0,,,,,,,,,,,,,,,
2,"Johnson, Chris",11,3,4,15,2,3.0,,1.0,,,,,,1.0,1.0,,,,,,,,
29,"Lyon, Ross",11,3,4,15,,,,2.0,,,,,,,,,,,,,,,
25,"McCarthy, John",4,3,6,10,,,2.0,,,,,,,,,,,,,,,,
11,"McGregor, Anthony",4,,,4,,,,2.0,,,,,1.0,,,,,,,,,,
4,"Paxman, Stephen",8,3,7,15,,,4.0,2.0,,,,,2.0,,,,,,,,,,
1,"Roos, Paul",10,6,4,14,2,1.0,,2.0,,,,,,1.0,,,,,,,,,
3,"Seecamp, Marcus",9,4,1,10,,,,,,,,,,,,,,,,,,,
21,"Sporn, Kieran",7,2,5,12,,,,,,,,,,,,,,,,,,,
22,"Stretch, Steven",11,5,4,15,,1.0,,4.0,,,,,,,,,,,,,,,
12,"Wheildon, Darren",9,4,2,11,2,1.0,,1.0,,,,,3.0,3.0,,,,,,,,,
8,"Wynd, Jim",19,8,9,28,,,,2.0,,,,,1.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,189,82,93,282,8,11.0,14.0,41.0,,,,,17.0,15.0,1.0,,,,,,,,
Opposition,Opposition,186,76,137,323,13,22.0,18.0,27.0,,,,,15.0,17.0,5.0,,,,,,,,
