Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
3,"AhMat, Matthew",17y 44d,1 (0-0-1 0.00%),,←,
10,"Ashcroft, Marcus",19y 319d,42 (9-0-33 21.43%),18 (0.43),←,
8,"Cameron, David",27y 128d,55 (25-0-30 45.45%),96 (1.75),14 (3-0-11 21.43%),25 (1.79)
25,"Campbell, Matthew",27y 192d,58 (14-0-44 24.14%),19 (0.33),←,
1,"Champion, Richard",23y 118d,15 (2-0-13 13.33%),4 (0.27),←,
12,"Clarke, Troy",22y 63d,9 (1-0-8 11.11%),6 (0.67),←,
4,"Gastev, John",26y 364d,87 (31-0-56 35.63%),63 (0.72),57 (14-0-43 24.56%),32 (0.56)
5,"Hardie, Brad",28y 304d,147 (53-0-94 36.05%),220 (1.50),100 (25-0-75 25.00%),192 (1.92)
41,"Kennedy, Matthew",21y 187d,18 (3-0-15 16.67%),1 (0.06),←,
53,"Kidgell, Ian",20y 262d,1 (0-0-1 0.00%),,←,
17,"Leslie, Martin",28y 266d,50 (12-0-38 24.00%),4 (0.08),←,
50,"Luhrs, Simon",21y 53d,3 (0-0-3 0.00%),,←,
19,"McLean, Michael",26y 160d,114 (50-2-62 44.74%),31 (0.27),19 (3-0-16 15.79%),8 (0.42)
24,"Merrett, Roger",31y 113d,224 (116-2-106 52.23%),247 (1.10),75 (19-0-56 25.33%),99 (1.32)
26,"Noonan, Danny",22y 254d,14 (2-0-12 14.29%),4 (0.29),←,
34,"Ogg, David",23y 260d,6 (0-0-6 0.00%),1 (0.17),←,
23,"Schache, Laurence",23y 297d,14 (3-0-11 21.43%),39 (2.79),←,
20,"Sim, Lachlan",21y 259d,21 (6-0-15 28.57%),5 (0.24),←,
35,"Worsfold, Peter",21y 30d,7 (0-0-7 0.00%),8 (1.14),←,
21,"Zanotti, Mark",26y 275d,83 (26-0-57 31.33%),9 (0.11),47 (9-0-38 19.15%),3 (0.06)
Totals,Totals,24y 51d,969 (353-4-612 36.43%),775 (0.80),,
C,"Walls, Robert",41y 20d,218 (118-1-99 54.36%),,19 (3-0-16 15.79%),
