Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
20,"Akermanis, Jason",7,2,8,15,,1.0,,,,,,,2.0,2.0,,,,,,,,,
10,"Ashcroft, Marcus",6,2,4,10,,,,1.0,,,,,1.0,,,,,,,,,,
17,"Bartlett, Trent",4,2,1,5,,,1.0,1.0,,,,,,1.0,,,,,,,,,
25,"Bews, Andrew",11,1,2,13,,,,,,,,,2.0,,,,,,,,,,
1,"Champion, Richard",8,2,6,14,,,,,,,,,1.0,1.0,,,,,,,,,
16,"Clarke, Matthew",7,3,4,11,,,10.0,1.0,,,,,2.0,2.0,,,,,,,,,
12,"Clarke, Troy",3,1,,3,,,,,,,,,,,,,,,,,,,
6,"Fletcher, Adrian",12,2,9,21,,,,3.0,,,,,1.0,2.0,,,,,,,,,
8,"Gowers, Andrew",7,1,2,9,1,,,,,,,,,,,,,,,,,,
27,"Keating, Clark",9,2,4,13,1,1.0,10.0,,,,,,2.0,,,,,,,,,,
41,"Kennedy, Matthew",9,5,1,10,,,,1.0,,,,,,1.0,,,,,,,,,
18,"Lambert, Craig",12,2,16,28,,1.0,,1.0,,,,,2.0,2.0,,,,,,,,,
44,"Lappin, Nigel",22,7,5,27,1,3.0,,1.0,,,,,1.0,,,,,,,,,,
11,"Lynch, Alastair",10,8,2,12,3,,,,,,,,,,,,,,,,,,
2,"McAdam, Gilbert",2,1,3,5,,1.0,,1.0,,,,,,,,,,,,,,,
7,"McIvor, Scott",6,2,2,8,,,,,,,,,1.0,1.0,,,,,,,,,
4,"McRae, Craig",12,1,1,13,1,,,1.0,,,,,1.0,1.0,,,,,,,,,
28,"Robbins, Ben",6,3,2,8,,,,,,,,,,,,,,,,,,,
22,"Scott, Chris",5,1,2,7,,,,1.0,,,,,,1.0,,,,,,,,,
3,"Voss, Michael",14,2,8,22,,,,3.0,,,,,1.0,,,,,,,,,,
33,"White, Darryl",4,3,1,5,,,,,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,176,53,83,259,7,8.0,21.0,15.0,,,,,17.0,14.0,,,,,,,,,
Opposition,Opposition,209,80,103,312,14,12.0,17.0,38.0,,,,,14.0,17.0,6.0,,,,,,,,
