Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
31,"Bannister, Jordan",7,2,4,11,,1.0,,3.0,2.0,2.0,,3.0,,1.0,,6.0,5.0,,,3.0,2.0,1.0,73.0
16,"Camporeale, Scott",19,3,2,21,,1.0,,3.0,6.0,5.0,1.0,3.0,1.0,,,3.0,15.0,,,1.0,2.0,1.0,100.0
9,"Clarke, David",10,3,7,17,1,,,3.0,3.0,1.0,2.0,3.0,1.0,2.0,,3.0,14.0,,1.0,5.0,,,68.0
26,"De Luca, Adrian",5,4,4,9,1,,5.0,5.0,1.0,2.0,1.0,2.0,1.0,,,5.0,4.0,3.0,1.0,2.0,,1.0,89.0
25,"Fevola, Brendan",10,6,1,11,3,2.0,1.0,,,2.0,,6.0,,1.0,,5.0,6.0,1.0,4.0,4.0,,,100.0
14,"Fisher, Brad",4,1,2,6,1,,,1.0,,3.0,,2.0,2.0,1.0,,5.0,3.0,,,1.0,2.0,,57.0
11,"French, Barnaby",3,2,6,9,,,14.0,1.0,1.0,,3.0,1.0,3.0,1.0,,6.0,4.0,,,1.0,,,67.0
33,"Houlihan, Ryan",14,4,1,15,1,,,1.0,4.0,1.0,,2.0,1.0,,,2.0,11.0,,,,3.0,,81.0
10,"Johnson, Brett",6,,7,13,,1.0,,4.0,2.0,4.0,3.0,1.0,,,,6.0,6.0,,,1.0,,,72.0
43,"Koutoufides, Anthony",9,7,6,15,1,1.0,2.0,5.0,2.0,3.0,5.0,1.0,,1.0,,8.0,6.0,1.0,1.0,2.0,,1.0,100.0
12,"Lappin, Matthew",16,7,8,24,,,,5.0,7.0,5.0,,4.0,,,,6.0,16.0,,1.0,1.0,9.0,1.0,100.0
20,"McGrath, Cory",4,1,4,8,,,,2.0,,1.0,2.0,,,,,5.0,3.0,,,5.0,,,100.0
3,"Morrell, Digby",9,9,4,13,1,,1.0,,3.0,,,1.0,1.0,,,7.0,7.0,3.0,1.0,3.0,,,100.0
37,"Norman, Karl",4,1,2,6,,,2.0,2.0,,,2.0,4.0,1.0,3.0,,3.0,4.0,,,3.0,1.0,,68.0
28,"Prendergast, Ian",1,1,5,6,,,3.0,2.0,,,2.0,,1.0,,,5.0,2.0,,,1.0,,,46.0
29,"Scotland, Heath",13,5,8,21,,,,5.0,1.0,4.0,6.0,2.0,1.0,1.0,,11.0,12.0,,,3.0,3.0,,93.0
24,"Stevens, Nick",11,2,9,20,1,1.0,,3.0,2.0,4.0,6.0,4.0,2.0,4.0,,10.0,8.0,,1.0,4.0,,,99.0
15,"Teague, David",7,4,6,13,,,,4.0,6.0,,1.0,1.0,1.0,,,7.0,5.0,,,7.0,,,100.0
32,"Thornton, Bret",6,7,2,8,,,1.0,1.0,3.0,1.0,,3.0,,1.0,,1.0,8.0,1.0,,7.0,2.0,,100.0
30,"Waite, Jarrad",5,4,4,9,1,,,3.0,,2.0,,2.0,,,,5.0,5.0,1.0,1.0,,2.0,,85.0
1,"Walker, Andrew",4,1,,4,,,,1.0,1.0,2.0,1.0,2.0,1.0,,,2.0,2.0,1.0,,,,,47.0
8,"Whitnall, Lance",1,2,3,4,,,2.0,,,1.0,1.0,,,,,1.0,3.0,,,,,,55.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,168,76,95,263,11,8.0,31.0,54.0,44.0,43.0,36.0,47.0,17.0,16.0,,112.0,149.0,11.0,11.0,54.0,26.0,5.0,
Opposition,Opposition,203,92,117,320,18,23.0,22.0,40.0,28.0,65.0,31.0,40.0,16.0,17.0,6.0,131.0,181.0,20.0,19.0,43.0,17.0,11.0,
