Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",28y 139d,196 (124-0-72 63.27%),110 (0.56),←,
12,"Blakey, John",35y 17d,343 (185-0-158 53.94%),107 (0.31),208 (133-0-75 63.94%),69 (0.33)
22,"Burton, Matthew",31y 83d,111 (44-0-67 39.64%),46 (0.41),41 (22-0-19 53.66%),14 (0.34)
18,"Carey, Wayne",30y 75d,242 (152-0-90 62.81%),666 (2.75),←,
23,"Clayton, Shane",22y 290d,84 (45-0-39 53.57%),30 (0.36),66 (43-0-23 65.15%),29 (0.44)
45,"Cochrane, Stuart",23y 21d,31 (15-0-16 48.39%),5 (0.16),←,
6,"Grant, Shannon",24y 113d,150 (93-1-56 62.33%),171 (1.14),92 (61-0-31 66.30%),133 (1.45)
29,"Harvey, Brent",23y 88d,106 (70-0-36 66.04%),117 (1.10),←,
34,"King, David",29y 156d,173 (114-0-59 65.90%),87 (0.50),←,
35,"Makepeace, Troy",22y 157d,36 (20-0-16 55.56%),11 (0.31),←,
4,"Martyn, Mick",32y 344d,268 (160-1-107 59.89%),15 (0.06),←,
5,"McCartney, Jason",27y 149d,164 (92-0-72 56.10%),54 (0.33),89 (58-0-31 65.17%),6 (0.07)
31,"McKernan, Corey",27y 234d,179 (119-0-60 66.48%),232 (1.30),←,
8,"McLaren, Joe",23y 242d,66 (26-1-39 40.15%),37 (0.56),9 (5-0-4 55.56%),4 (0.44)
44,"Motlop, Shannon",22y 357d,39 (25-0-14 64.10%),24 (0.62),←,
28,"Pickett, Byron",23y 364d,95 (62-0-33 65.26%),38 (0.40),←,
3,"Rawlings, Brady",20y 61d,36 (25-0-11 69.44%),15 (0.42),←,
26,"Rocca, Saverio",27y 263d,174 (78-2-94 45.40%),557 (3.20),18 (8-0-10 44.44%),43 (2.39)
7,"Simpson, Adam",25y 175d,133 (90-0-43 67.67%),43 (0.32),←,
9,"Sinclair, Jess",22y 349d,65 (19-0-46 29.23%),34 (0.52),15 (6-0-9 40.00%),8 (0.53)
25,"Spaull, John",23y 355d,7 (4-0-3 57.14%),5 (0.71),←,
40,"Teague, David",20y 97d,7 (4-0-3 57.14%),1 (0.14),←,
Totals,Totals,25y 321d,2705 (1566-5-1134 57.89%),2405 (0.89),,
C,"Pagan, Denis",53y 320d,214 (138-0-76 64.49%),,←,
