Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
3,"Bairstow, Mark",28y 361d,105 (65-1-39 62.38%),134 (1.28),←,
6,"Barnes, John",23y 48d,16 (8-1-7 53.13%),13 (0.81),4 (2-0-2 50.00%),1 (0.25)
27,"Bews, Andrew",28y,184 (96-1-87 52.45%),129 (0.70),←,
40,"Brown, Paul",23y 74d,30 (20-0-10 66.67%),43 (1.43),←,
16,"Brownless, Bill",25y 173d,118 (64-1-53 54.66%),279 (2.36),←,
7,"Couch, Paul",28y,156 (88-0-68 56.41%),133 (0.85),←,
14,"Handley, Steven",21y 362d,17 (13-0-4 76.47%),5 (0.29),←,
29,"Hinkley, Ken",25y 293d,68 (39-0-29 57.35%),54 (0.79),57 (35-0-22 61.40%),33 (0.58)
32,"Hocking, Garry",23y 285d,92 (53-1-38 58.15%),90 (0.98),←,
1,"Hocking, Steve",27y 183d,157 (84-0-73 53.50%),10 (0.06),←,
12,"Malakellis, Spiro",24y 87d,53 (32-0-21 60.38%),16 (0.30),←,
21,"Mansfield, Michael",20y 346d,31 (19-0-12 61.29%),30 (0.97),←,
17,"McGrath, Tim",21y 286d,24 (17-0-7 70.83%),,17 (13-0-4 76.47%),
31,"Mensch, David",19y 340d,12 (11-0-1 91.67%),20 (1.67),←,
2,"Miles, Geoff",30y 191d,113 (60-0-53 53.10%),52 (0.46),11 (8-0-3 72.73%),12 (1.09)
22,"Neeld, Mark",21y 6d,35 (20-0-15 57.14%),14 (0.40),←,
15,"Riccardi, Peter",19y 215d,11 (10-0-1 90.91%),14 (1.27),←,
20,"Rogers, Andrew",27y 339d,79 (49-0-30 62.03%),3 (0.04),71 (44-0-27 61.97%),2 (0.03)
8,"Scott, Robert",23y 140d,95 (54-1-40 57.37%),130 (1.37),←,
37,"Simpson, Sean",22y 94d,30 (19-0-11 63.33%),8 (0.27),23 (18-0-5 78.26%),7 (0.30)
Totals,Totals,24y 136d,1426 (821-6-599 57.57%),1177 (0.83),,
C,"Blight, Malcolm",42y 154d,106 (62-0-44 58.49%),,90 (56-0-34 62.22%),
