Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
51,"Berbakov, Peter",3,2,2,5,,,1.0,,,,,,1.0,,,,,,,,,,
14,"Calthorpe, David",5,3,4,9,1,2.0,,,,,,,1.0,1.0,,,,,,,,,
9,"Cockatoo-Collins, Che",1,2,4,5,,,,1.0,,,,,,2.0,,,,,,,,,
36,"Cummings, Scott",9,6,2,11,3,4.0,,,,,,,,1.0,,,,,,,,,
7,"Daniher, Chris",6,2,3,9,1,1.0,,1.0,,,,,,,,,,,,,,,
38,"Denham, Sean",8,1,15,23,,,,4.0,,,,,,1.0,,,,,,,,,
22,"Doolan, Ben",17,3,10,27,1,,,1.0,,,,,1.0,,,,,,,,,,
31,"Fletcher, Dustin",8,5,3,11,,,,,,,,,1.0,,,,,,,,,,
30,"Fraser, Mark",10,3,8,18,,2.0,,,,,,,,,,,,,,,,,
1,"Harvey, Mark",20,5,2,22,,,,1.0,,,,,2.0,4.0,,,,,,,,,
5,"Hird, James",14,6,16,30,1,3.0,2.0,3.0,,,,,1.0,4.0,3.0,,,,,,,,
2,"Mercuri, Mark",4,4,10,14,1,1.0,,3.0,,,,,,1.0,,,,,,,,,
24,"Misiti, Joe",16,2,6,22,,1.0,,2.0,,,,,1.0,2.0,,,,,,,,,
3,"OConnor, Ryan",7,6,7,14,1,2.0,5.0,,,,,,,1.0,,,,,,,,,
10,"ODonnell, Gary",8,3,3,11,,,,1.0,,,,,1.0,,,,,,,,,,
15,"Prior, Michael",15,1,5,20,,,,1.0,,,,,1.0,2.0,,,,,,,,,
19,"Somerville, Peter",8,7,10,18,,,17.0,,,,,,3.0,2.0,,,,,,,,,
12,"Symons, Michael",6,3,7,13,2,1.0,,5.0,,,,,,,,,,,,,,,
26,"Thompson, Mark",12,4,2,14,,,,1.0,,,,,1.0,1.0,,,,,,,,,
6,"Wellman, Sean",4,4,3,7,,,,,,,,,,,,,,,,,,,
35,"Young, Barry",6,3,5,11,1,,,2.0,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,187,75,127,314,12,18.0,25.0,26.0,,,,,14.0,22.0,3.0,,,,,,,,
Opposition,Opposition,174,78,91,265,14,6.0,13.0,30.0,,,,,22.0,14.0,3.0,,,,,,,,
