Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
8,"Bassett, Nathan",8,4,8,16,,,,2.0,2.0,2.0,,,1.0,,,3.0,13.0,,,7.0,2.0,,100.0
35,"Biglands, Rhett",4,2,,4,,1.0,8.0,3.0,,3.0,1.0,2.0,2.0,2.0,,2.0,2.0,,,1.0,,,65.0
10,"Bode, Matthew",,1,5,5,,,,6.0,,,1.0,2.0,1.0,2.0,,2.0,4.0,,,1.0,,,74.0
24,"Burton, Brett",12,6,3,15,2,1.0,,1.0,1.0,3.0,1.0,5.0,,3.0,,6.0,11.0,3.0,1.0,1.0,1.0,2.0,94.0
4,"Clarke, Matthew",2,1,2,4,,,7.0,2.0,,,,2.0,2.0,1.0,,3.0,1.0,,,2.0,,1.0,48.0
11,"Doughty, Michael",11,6,11,22,,,,2.0,2.0,3.0,,1.0,,1.0,,5.0,16.0,,,1.0,,,94.0
9,"Edwards, Tyson",15,7,15,30,1,,,3.0,3.0,5.0,3.0,,,,1.0,7.0,22.0,,,2.0,5.0,,84.0
36,"Goodwin, Simon",12,7,11,23,,,,2.0,3.0,3.0,,2.0,,,,2.0,20.0,,,,,1.0,100.0
34,"Hart, Ben",3,2,1,4,,,1.0,,,,,1.0,,,,1.0,3.0,1.0,,1.0,,,22.0
37,"Hentschel, Trent",7,8,3,10,2,3.0,,,,2.0,,,,,,1.0,9.0,,5.0,1.0,,,100.0
18,"Johncock, Graham",12,3,4,16,1,,,2.0,5.0,3.0,,2.0,,1.0,,1.0,13.0,,1.0,1.0,7.0,,100.0
3,"Massie, Kris",8,6,3,11,,,,1.0,,3.0,,2.0,,,,1.0,10.0,,1.0,1.0,,,80.0
39,"Mattner, Martin",4,3,7,11,1,1.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,5.0,7.0,,1.0,,,,97.0
16,"McGregor, Ken",10,10,4,14,,2.0,,1.0,,1.0,,3.0,1.0,2.0,,2.0,12.0,1.0,4.0,2.0,,,87.0
23,"McLeod, Andrew",16,2,10,26,1,,,5.0,4.0,6.0,,,2.0,,,10.0,17.0,,,4.0,8.0,,100.0
33,"Reilly, Brent",7,4,9,16,,,,8.0,1.0,1.0,4.0,3.0,1.0,1.0,,8.0,8.0,,,3.0,1.0,,62.0
32,"Ricciuto, Mark",3,2,1,4,1,1.0,,,,2.0,,2.0,1.0,2.0,,2.0,2.0,,,1.0,,,100.0
25,"Rutten, Ben",8,6,6,14,,,,1.0,7.0,1.0,,1.0,,,,3.0,11.0,,,,1.0,1.0,100.0
12,"Shirley, Robert",5,3,11,16,,,,3.0,1.0,1.0,1.0,3.0,1.0,,,5.0,11.0,,,2.0,,,69.0
27,"Stevens, Scott",10,10,9,19,,,,2.0,,2.0,,,2.0,,,3.0,16.0,,,1.0,,,100.0
5,"Thompson, Scott",12,8,6,18,,,,1.0,2.0,3.0,2.0,5.0,,3.0,,4.0,15.0,,,3.0,2.0,,85.0
7,"van Berlo, Nathan",3,1,3,6,,,,3.0,,1.0,,1.0,,,,3.0,3.0,,,,,,41.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,172,102,132,304,9,12.0,16.0,50.0,32.0,47.0,14.0,38.0,15.0,19.0,1.0,79.0,226.0,5.0,13.0,35.0,27.0,5.0,
Opposition,Opposition,259,181,98,357,10,9.0,20.0,35.0,48.0,42.0,26.0,42.0,19.0,13.0,5.0,92.0,268.0,13.0,13.0,32.0,16.0,8.0,
