Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
22,"Bain, David",23,5,6,29,,,,1.0,,,,,1.0,3.0,,,,,,,,,
25,"Campbell, Matthew",9,3,6,15,,1.0,,,,,,,,3.0,,,,,,,,,
1,"Champion, Richard",6,4,5,11,1,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,
12,"Clarke, Troy",7,2,2,9,,1.0,,2.0,,,,,,1.0,,,,,,,,,
4,"Gastev, John",13,5,5,18,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,
34,"Green, Ashley",9,1,4,13,,,,1.0,,,,,4.0,,,,,,,,,,
14,"Hamilton, Shane",11,2,5,16,,,,,,,,,1.0,2.0,,,,,,,,,
11,"Hutton, John",5,2,3,8,2,1.0,1.0,,,,,,,1.0,,,,,,,,,
41,"Kennedy, Matthew",11,10,4,15,1,2.0,2.0,1.0,,,,,,,,,,,,,,,
17,"Leslie, Martin",8,6,6,14,,,,2.0,,,,,1.0,1.0,,,,,,,,,
16,"Luhrs, Simon",2,4,9,11,,,2.0,,,,,,,2.0,,,,,,,,,
40,"McLuckie, Steven",7,4,5,12,,1.0,,,,,,,1.0,,,,,,,,,,
26,"Noonan, Danny",21,5,8,29,,1.0,,,,,,,3.0,3.0,,,,,,,,,
44,"Palfreyman, Nigel",7,2,6,13,2,1.0,,1.0,,,,,,,,,,,,,,,
13,"Potter, Craig",7,2,7,14,,,,5.0,,,,,1.0,3.0,,,,,,,,,
23,"Schache, Laurence",10,5,3,13,,,,2.0,,,,,1.0,1.0,,,,,,,,,
33,"White, Darryl",6,3,6,12,,1.0,1.0,1.0,,,,,,,,,,,,,,,
28,"Windsor, Ray",5,4,1,6,2,1.0,,1.0,,,,,,1.0,,,,,,,,,
18,"Worsfold, Peter",12,4,7,19,,,,,,,,,2.0,,,,,,,,,,
21,"Zanotti, Mark",8,5,4,12,,,,,,,,,2.0,3.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,187,78,102,289,8,13.0,7.0,18.0,,,,,19.0,26.0,,,,,,,,,
Opposition,Opposition,214,57,133,347,19,21.0,26.0,22.0,,,,,26.0,19.0,6.0,,,,,,,,
