St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
29,"Baker, Steven",21y 346d,32 (7-1-24 23.44%),4 (0.13),←,
21,"Beetham, Caydn",20y 53d,33 (5-1-27 16.67%),9 (0.27),←,
22,"Begley, James",21y 285d,27 (4-2-21 18.52%),4 (0.15),←,
6,"Black, Heath",22y 340d,74 (19-0-55 25.68%),36 (0.49),5 (1-0-4 20.00%),1 (0.20)
11,"Callaghan, Craig",26y 55d,114 (31-1-82 27.63%),94 (0.82),19 (3-1-15 18.42%),25 (1.32)
16,"Capuano, Mathew",26y 243d,98 (62-1-35 63.78%),34 (0.35),16 (2-1-13 15.63%),10 (0.63)
20,"Clarke, Xavier",18y 217d,4 (0-1-3 12.50%),1 (0.25),←,
26,"Dal Santo, Nick",18y 70d,3 (0-1-2 16.67%),1 (0.33),←,
2,"Hamill, Aaron",24y 256d,119 (54-0-65 45.38%),147 (1.24),27 (5-0-22 18.52%),33 (1.22)
7,"Hayes, Lenny",22y 109d,57 (14-2-41 26.32%),24 (0.42),←,
8,"Hudghton, Max",25y 243d,108 (41-2-65 38.89%),9 (0.08),←,
33,"Knobel, Trent",21y 345d,19 (10-1-8 55.26%),,6 (1-1-4 25.00%),
15,"Lawrence, Steven",25y 349d,91 (41-3-47 46.70%),45 (0.49),10 (1-1-8 15.00%),2 (0.20)
31,"Maguire, Matt",17y 338d,1 (0-0-1 0.00%),,←,
44,"Milne, Stephen",22y 56d,23 (4-1-18 19.57%),38 (1.65),←,
28,"Montagna, Leigh",18y 182d,1 (0-0-1 0.00%),,←,
25,"Oliver, Chris",19y 298d,6 (1-1-4 25.00%),1 (0.17),←,
12,"Riewoldt, Nick",19y 198d,12 (2-1-9 20.83%),3 (0.25),←,
40,"Schwarze, Troy",20y 131d,13 (2-1-10 19.23%),3 (0.23),←,
4,"Thompson, Andrew",29y 194d,115 (45-2-68 40.00%),68 (0.59),←,
13,"Voss, Brett",24y 70d,60 (24-2-34 41.67%),22 (0.37),25 (5-1-19 22.00%),11 (0.44)
30,"Wulf, Daniel",21y 349d,10 (1-1-8 15.00%),3 (0.30),←,
Totals,Totals,22y 115d,1020 (367-25-628 35.98%),546 (0.54),,
C,"Thomas, Grant",44y 78d,13 (2-1-10 19.23%),,←,
