Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",21y 317d,80 (17-1-62 21.88%),53 (0.66),←,
30,"Bourke, Damian",28y 201d,109 (59-1-49 54.59%),18 (0.17),7 (1-0-6 14.29%),3 (0.43)
11,"Buckley, Nathan",21y 13d,18 (4-0-14 22.22%),19 (1.06),←,
5,"Chapman, Nathan",18y 93d,18 (4-0-14 22.22%),6 (0.33),←,
12,"Clarke, Troy",24y 61d,46 (8-1-37 18.48%),17 (0.37),←,
6,"Fletcher, Adrian",23y 302d,63 (29-0-34 46.03%),31 (0.49),18 (4-0-14 22.22%),11 (0.61)
32,"Hart, Shaun",22y 83d,46 (9-1-36 20.65%),13 (0.28),←,
36,"Heffernan, Martin",20y 345d,5 (2-0-3 40.00%),2 (0.40),2 (0-0-2 0.00%),1 (0.50)
41,"Kennedy, Matthew",23y 185d,55 (10-0-45 18.18%),13 (0.24),←,
7,"McIvor, Scott",26y 364d,143 (50-0-93 34.97%),62 (0.43),88 (24-0-64 27.27%),47 (0.53)
19,"McLean, Michael",28y 158d,137 (54-2-81 40.15%),37 (0.27),42 (7-0-35 16.67%),14 (0.33)
40,"McLuckie, Steven",20y 177d,20 (5-1-14 27.50%),8 (0.40),←,
24,"Merrett, Roger",33y 111d,259 (123-3-133 48.07%),321 (1.24),110 (26-1-83 24.09%),173 (1.57)
26,"Noonan, Danny",24y 252d,54 (10-1-43 19.44%),19 (0.35),←,
13,"Pearce, Brad",21y 357d,1 (0-0-1 0.00%),1 (1.00),←,
38,"Scott, Dion",23y 129d,17 (4-0-13 23.53%),4 (0.24),11 (3-0-8 27.27%),4 (0.36)
15,"Spargo, Paul",26y 303d,90 (40-2-48 45.56%),118 (1.31),9 (3-0-6 33.33%),9 (1.00)
3,"Voss, Michael",18y 32d,20 (6-0-14 30.00%),9 (0.45),←,
33,"White, Darryl",20y 57d,29 (6-1-22 22.41%),29 (1.00),←,
18,"Worsfold, Peter",23y 28d,30 (3-1-26 11.67%),23 (0.77),←,
Totals,Totals,23y 215d,1240 (443-15-782 35.73%),803 (0.65),,
C,"Walls, Robert",43y 18d,261 (126-2-133 48.66%),,62 (11-1-50 18.55%),
