Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
19,"Bishop, Matthew",29y 308d,119 (75-1-43 63.45%),7 (0.06),101 (68-1-32 67.82%),3 (0.03)
25,"Cassisi, Domenic",22y 235d,51 (37-1-13 73.53%),19 (0.37),←,
26,"Cochrane, Stuart",26y 299d,98 (54-1-43 55.61%),17 (0.17),48 (31-1-16 65.63%),6 (0.13)
35,"Cornes, Chad",25y 184d,126 (82-1-43 65.48%),110 (0.87),←,
18,"Cornes, Kane",22y 130d,77 (54-1-22 70.78%),34 (0.44),←,
17,"Dew, Stuart",25y 270d,144 (84-3-57 59.38%),214 (1.49),←,
33,"Ebert, Brett",21y 178d,24 (13-1-10 56.25%),25 (1.04),←,
13,"Eckermann, Ben",18y 64d,2 (1-0-1 50.00%),,←,
10,"Francou, Josh",30y 281d,141 (72-4-65 52.48%),66 (0.47),←,
5,"Lade, Brendon",28y 309d,132 (77-3-52 59.47%),107 (0.81),←,
22,"Mahoney, Josh",27y 196d,54 (26-0-28 48.15%),32 (0.59),24 (16-0-8 66.67%),22 (0.92)
3,"Montgomery, Brett",31y 348d,171 (109-3-59 64.62%),99 (0.58),111 (69-2-40 63.06%),45 (0.41)
36,"Pettigrew, Michael",20y 60d,8 (4-0-4 50.00%),3 (0.38),←,
15,"Pickett, Byron",27y 277d,163 (107-0-56 65.64%),145 (0.89),43 (33-0-10 76.74%),64 (1.49)
1,"Primus, Matthew",30y 123d,147 (68-3-76 47.28%),74 (0.50),127 (67-3-57 53.94%),69 (0.54)
31,"Salopek, Steven",19y 328d,22 (15-0-7 68.18%),10 (0.45),←,
28,"Thurstans, Toby",24y 274d,41 (28-1-12 69.51%),33 (0.80),←,
16,"Tredrea, Warren",26y 142d,163 (98-2-63 60.74%),364 (2.23),←,
2,"Wakelin, Darryl",30y 277d,210 (119-2-89 57.14%),12 (0.06),95 (66-1-28 70.00%),4 (0.04)
42,"Walsh, Peter",28y 295d,112 (53-1-58 47.77%),33 (0.29),8 (2-1-5 31.25%),2 (0.25)
4,"Wanganeen, Gavin",31y 331d,284 (169-6-109 60.56%),192 (0.68),157 (96-3-58 62.10%),129 (0.82)
21,"Wilson, Michael",28y 175d,142 (77-4-61 55.63%),44 (0.31),←,
Totals,Totals,26y 148d,2431 (1422-38-971 58.49%),1640 (0.67),,
C,"Williams, Mark",46y 267d,151 (94-2-55 62.91%),,←,
