Notes,Previous,Current
Brisbane Lions's lowest score,"75 v Hawthorn - R3,1997","17 v Richmond - R4,2018"
Port Adelaide's lowest score conceded,"72 v Adelaide - R4,1997","20 v Gold Coast - R23,2017"
