Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Boak, Travis",12,9,11,23,,,,4.0,,3.0,1.0,4.0,,1.0,,5.0,18.0,,1.0,,,1.0,84.0
20,"Brogan, Dean",2,2,11,13,,,22.0,2.0,,,5.0,3.0,2.0,2.0,,9.0,5.0,1.0,,1.0,,,70.0
7,"Burgoyne, Peter",10,2,6,16,,,,2.0,4.0,2.0,,,,,,3.0,13.0,,,2.0,7.0,,88.0
8,"Burgoyne, Shaun",10,7,6,16,3,2.0,,4.0,,3.0,1.0,2.0,,1.0,2.0,4.0,11.0,,4.0,,1.0,4.0,91.0
27,"Carlile, Alipate",12,6,7,19,,,,,,2.0,,1.0,1.0,1.0,,7.0,12.0,,,5.0,2.0,,97.0
25,"Cassisi, Domenic",7,2,17,24,1,,,8.0,,1.0,3.0,1.0,,,,12.0,11.0,,,1.0,,,89.0
30,"Chaplin, Troy",6,6,4,10,,,,1.0,2.0,,,1.0,,1.0,,3.0,7.0,1.0,,7.0,1.0,,74.0
35,"Cornes, Chad",19,10,6,25,,1.0,2.0,4.0,3.0,5.0,3.0,7.0,,2.0,,6.0,19.0,1.0,,,,,90.0
18,"Cornes, Kane",12,7,15,27,,,,8.0,2.0,2.0,,,,,,2.0,25.0,,,1.0,2.0,1.0,97.0
33,"Ebert, Brett",14,8,2,16,4,1.0,,1.0,,2.0,,5.0,,,1.0,4.0,11.0,1.0,5.0,1.0,,2.0,90.0
29,"Krakouer, Nathan",10,5,3,13,,,,2.0,,4.0,,2.0,,1.0,,2.0,12.0,,,2.0,1.0,1.0,60.0
5,"Lade, Brendon",8,5,4,12,1,2.0,17.0,1.0,1.0,3.0,4.0,4.0,1.0,3.0,,6.0,6.0,,1.0,,,1.0,61.0
44,"Logan, Tom",5,5,5,10,,,,3.0,,3.0,1.0,,1.0,,,3.0,7.0,,,5.0,,,62.0
4,"Motlop, Daniel",11,4,1,12,4,2.0,,3.0,,2.0,,4.0,1.0,1.0,,3.0,8.0,,4.0,,,,71.0
36,"Pettigrew, Michael",9,4,7,16,,,,1.0,4.0,1.0,1.0,1.0,,,,6.0,10.0,,,1.0,1.0,,94.0
15,"Rodan, David",14,2,7,21,1,1.0,,3.0,1.0,7.0,7.0,1.0,1.0,,3.0,10.0,11.0,,1.0,4.0,9.0,1.0,86.0
3,"Salopek, Steven",14,9,6,20,,1.0,,1.0,3.0,4.0,1.0,1.0,1.0,,,4.0,16.0,1.0,,,1.0,1.0,76.0
9,"Surjan, Jacob",9,5,7,16,,,,2.0,,1.0,1.0,1.0,1.0,,,3.0,13.0,,1.0,3.0,2.0,1.0,89.0
6,"Thomson, Adam",6,3,15,21,2,,,2.0,2.0,2.0,2.0,4.0,,1.0,,7.0,14.0,,,2.0,,1.0,61.0
28,"Thurstans, Toby",9,6,3,12,,,1.0,2.0,4.0,,,3.0,,2.0,,2.0,10.0,,,3.0,,,100.0
1,"Tredrea, Warren",6,3,5,11,2,1.0,,2.0,1.0,1.0,,1.0,,1.0,,2.0,9.0,,2.0,,1.0,,91.0
39,"Westhoff, Justin",8,5,3,11,1,1.0,,2.0,,1.0,1.0,1.0,3.0,1.0,,5.0,6.0,,2.0,1.0,,1.0,79.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,213,115,151,364,19,14.0,42.0,58.0,27.0,49.0,31.0,47.0,12.0,18.0,6.0,108.0,254.0,5.0,21.0,39.0,28.0,15.0,
Opposition,Opposition,187,86,153,340,16,8.0,34.0,65.0,26.0,45.0,46.0,45.0,18.0,12.0,,123.0,218.0,11.0,10.0,25.0,13.0,10.0,
