Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
15,"Abraham, Winston",25y 263d,99 (62-0-37 62.63%),147 (1.48),61 (44-0-17 72.13%),92 (1.51)
26,"Bell, Peter",24y 109d,115 (78-0-37 67.83%),110 (0.96),113 (78-0-35 69.03%),108 (0.96)
12,"Blakey, John",33y 330d,314 (170-0-144 54.14%),99 (0.32),179 (118-0-61 65.92%),61 (0.34)
22,"Burton, Matthew",30y 30d,83 (29-0-54 34.94%),39 (0.47),13 (7-0-6 53.85%),7 (0.54)
18,"Carey, Wayne",29y 22d,220 (139-0-81 63.18%),607 (2.76),←,
9,"Chandler, Brett",24y 343d,70 (28-0-42 40.00%),8 (0.11),42 (27-0-15 64.29%),6 (0.14)
23,"Clayton, Shane",21y 238d,58 (31-0-27 53.45%),19 (0.33),40 (29-0-11 72.50%),18 (0.45)
6,"Grant, Shannon",23y 60d,122 (78-1-43 64.34%),139 (1.14),64 (46-0-18 71.88%),101 (1.58)
29,"Harvey, Brent",22y 35d,79 (55-0-24 69.62%),90 (1.14),←,
34,"King, David",28y 103d,147 (99-0-48 67.35%),56 (0.38),←,
27,"Lange, Adam",21y 158d,18 (11-0-7 61.11%),15 (0.83),←,
35,"Makepeace, Troy",21y 104d,12 (8-0-4 66.67%),4 (0.33),←,
4,"Martyn, Mick",31y 292d,254 (152-1-101 60.04%),15 (0.06),←,
5,"McCartney, Jason",26y 96d,135 (77-0-58 57.04%),52 (0.39),60 (43-0-17 71.67%),4 (0.07)
31,"McKernan, Corey",26y 182d,152 (105-0-47 69.08%),180 (1.18),←,
44,"Motlop, Shannon",21y 305d,20 (14-0-6 70.00%),17 (0.85),←,
28,"Pickett, Byron",22y 312d,66 (47-0-19 71.21%),2 (0.03),←,
13,"Pike, Martin",27y 217d,135 (66-0-69 48.89%),59 (0.44),75 (54-0-21 72.00%),19 (0.25)
24,"Sholl, Craig",32y 171d,230 (139-0-91 60.43%),156 (0.68),←,
7,"Simpson, Adam",24y 123d,105 (76-0-29 72.38%),37 (0.35),←,
25,"Spaull, John",22y 303d,3 (1-0-2 33.33%),3 (1.00),←,
10,"Stevens, Anthony",28y 352d,208 (130-0-78 62.50%),98 (0.47),←,
Totals,Totals,25y 355d,2645 (1595-2-1048 60.30%),1952 (0.74),,
C,"Pagan, Denis",52y 268d,185 (123-0-62 66.49%),,←,
