Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
1,"Ballantyne, Hayden",13,2,6,19,,1.0,,1.0,,3.0,,4.0,1.0,,,4.0,16.0,,,2.0,1.0,1.0,88.0
26,"Bradley, Kepler",10,4,8,18,,,3.0,2.0,3.0,2.0,5.0,2.0,1.0,1.0,,9.0,8.0,,,1.0,,,72.0
6,"Broughton, Greg",18,7,11,29,,1.0,,5.0,3.0,11.0,3.0,3.0,2.0,1.0,,8.0,20.0,,,2.0,1.0,2.0,90.0
30,"Clarke, Zac",2,2,5,7,,,5.0,2.0,,,2.0,2.0,,,,3.0,4.0,,,1.0,,,72.0
44,"Crichton, Jesse",5,2,2,7,,,,1.0,2.0,2.0,1.0,1.0,,,,2.0,5.0,,,4.0,,,72.0
15,"Crowley, Ryan",8,3,10,18,1,,,3.0,1.0,3.0,2.0,5.0,1.0,2.0,,8.0,10.0,,,3.0,,,89.0
40,"de Boer, Matt",3,4,8,11,1,,,4.0,,1.0,1.0,1.0,,,,4.0,7.0,1.0,1.0,,1.0,1.0,85.0
41,"Duffield, Paul",12,4,7,19,1,,,3.0,1.0,7.0,2.0,5.0,,1.0,,7.0,12.0,1.0,,,4.0,2.0,86.0
7,"Fyfe, Nat",14,4,9,23,1,2.0,,3.0,4.0,1.0,5.0,2.0,2.0,2.0,,13.0,11.0,2.0,1.0,3.0,,1.0,87.0
12,"Griffin, Jonathon",10,3,7,17,1,,31.0,7.0,2.0,3.0,5.0,4.0,3.0,2.0,,9.0,9.0,,,2.0,,,84.0
14,"Grover, Antoni",3,1,6,9,,,,5.0,2.0,,1.0,2.0,,2.0,,2.0,5.0,,,1.0,,,98.0
32,"Hill, Stephen",9,4,9,18,3,2.0,,6.0,1.0,2.0,1.0,1.0,1.0,1.0,,6.0,12.0,1.0,2.0,2.0,1.0,,91.0
5,"Ibbotson, Garrick",7,3,3,10,,,,2.0,2.0,,2.0,,1.0,,,5.0,5.0,,,,,,84.0
37,"Johnson, Michael",8,1,7,15,,,,5.0,4.0,,1.0,1.0,,,,7.0,7.0,,,1.0,,,90.0
34,"Lower, Nick",11,4,7,18,,,,7.0,2.0,2.0,,2.0,2.0,,,6.0,11.0,,,1.0,1.0,,85.0
23,"Mayne, Chris",4,3,5,9,2,1.0,,2.0,,1.0,,2.0,,,,5.0,4.0,1.0,2.0,,1.0,,87.0
18,"McPharlin, Luke",9,4,7,16,,,,3.0,1.0,,,,,,,6.0,10.0,2.0,,3.0,,,94.0
16,"Mundy, David",8,3,10,18,,,1.0,6.0,3.0,1.0,3.0,2.0,,1.0,,7.0,12.0,,,3.0,,1.0,87.0
13,"Mzungu, Tendai",7,4,6,13,1,,,2.0,,2.0,2.0,2.0,,,,7.0,7.0,,2.0,2.0,,,80.0
10 ↑,"Palmer, Rhys",2,2,,2,,,,1.0,,2.0,,1.0,,,,,2.0,,,,,,18.0
29,"Pavlich, Matthew",8,2,7,15,,1.0,1.0,5.0,1.0,1.0,2.0,2.0,,,,11.0,7.0,1.0,2.0,2.0,,,92.0
46 ↓,"Pearce, Clancee",11,5,4,15,2,1.0,,6.0,,4.0,,,,,,6.0,7.0,1.0,1.0,2.0,,1.0,69.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,182,71,144,326,13,11.0,41.0,81.0,32.0,48.0,38.0,44.0,14.0,13.0,,135.0,191.0,10.0,11.0,35.0,10.0,9.0,
Opposition,Opposition,207,80,162,369,17,9.0,46.0,55.0,31.0,54.0,48.0,49.0,13.0,14.0,6.0,148.0,218.0,7.0,19.0,54.0,15.0,14.0,
