St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
10,"Baker, Steven",29y 353d,185 (98-2-85 53.51%),34 (0.18),←,
27,"Blake, Jason",29y 56d,168 (94-2-72 56.55%),33 (0.20),←,
16,"Clarke, Raphael",24y 228d,61 (40-0-21 65.57%),6 (0.10),←,
26,"Dal Santo, Nick",26y 77d,175 (104-2-69 60.00%),93 (0.53),←,
6,"Dawson, Zac",24y 77d,44 (29-0-15 65.91%),2 (0.05),30 (25-0-5 83.33%),2 (0.07)
25,"Fisher, Sam",27y 304d,125 (81-1-43 65.20%),15 (0.12),←,
15,"Gardiner, Michael",30y 309d,164 (91-2-71 56.10%),101 (0.62),35 (25-0-10 71.43%),14 (0.40)
14,"Geary, Jarryn",21y 321d,32 (25-0-7 78.13%),9 (0.28),←,
19,"Gilbert, Sam",23y 264d,68 (46-1-21 68.38%),12 (0.18),←,
18,"Goddard, Brendon",24y 355d,144 (93-0-51 64.58%),68 (0.47),←,
1,"Gram, Jason",26y 13d,106 (68-1-37 64.62%),56 (0.53),104 (67-1-36 64.90%),56 (0.54)
33,"Gwilt, James",23y 272d,48 (33-0-15 68.75%),17 (0.35),←,
7,"Hayes, Lenny",30y 116d,221 (111-3-107 50.90%),72 (0.33),←,
4,"Jones, Clinton",26y 97d,57 (43-1-13 76.32%),17 (0.30),←,
2,"King, Steven",31y 169d,240 (132-2-106 55.42%),83 (0.35),47 (33-0-14 70.21%),8 (0.17)
23,"Koschitzke, Justin",27y 232d,146 (82-1-63 56.51%),174 (1.19),←,
32,"McQualter, Andrew",23y 335d,66 (45-0-21 68.18%),31 (0.47),←,
44,"Milne, Stephen",30y 63d,195 (105-2-88 54.36%),391 (2.01),←,
11,"Montagna, Leigh",26y 189d,129 (83-1-45 64.73%),73 (0.57),←,
22,"Ray, Farren",24y 48d,106 (62-1-43 58.96%),37 (0.35),31 (27-0-4 87.10%),5 (0.16)
13,"Schneider, Adam",25y 363d,148 (96-1-51 65.20%),171 (1.16),50 (36-0-14 72.00%),72 (1.44)
3,"Steven, Jack",20y 43d,3 (2-0-1 66.67%),4 (1.33),←,
Totals,Totals,26y 128d,2631 (1563-23-1045 59.41%),1499 (0.57),,
C,"Lyon, Ross",43y 183d,79 (52-1-26 66.46%),,←,
