Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",21y 183d,63 (13-1-49 21.43%),40 (0.63),←,
22,"Bain, David",26y 329d,78 (15-1-62 19.87%),43 (0.55),←,
11,"Buckley, Nathan",20y 244d,1 (0-0-1 0.00%),2 (2.00),←,
25,"Campbell, Matthew",29y 56d,78 (16-1-61 21.15%),28 (0.36),←,
1,"Champion, Richard",24y 347d,40 (6-1-33 16.25%),17 (0.43),←,
5,"Chapman, Nathan",17y 324d,1 (0-0-1 0.00%),,←,
16,"Clarke, Matthew",19y 190d,1 (0-0-1 0.00%),,←,
12,"Clarke, Troy",23y 292d,31 (4-1-26 14.52%),14 (0.45),←,
6,"Fletcher, Adrian",23y 168d,46 (25-0-21 54.35%),21 (0.46),1 (0-0-1 0.00%),1 (1.00)
4,"Gastev, John",28y 228d,112 (35-1-76 31.70%),68 (0.61),82 (18-1-63 22.56%),37 (0.45)
2,"Green, Ashley",19y 355d,19 (4-1-14 23.68%),1 (0.05),←,
32,"Hart, Shaun",21y 314d,30 (6-1-23 21.67%),4 (0.13),←,
41,"Kennedy, Matthew",23y 51d,39 (6-0-33 15.38%),8 (0.21),←,
23,"Leppitsch, Justin",17y 177d,1 (0-0-1 0.00%),1 (1.00),←,
17,"Leslie, Martin",30y 130d,74 (15-1-58 20.95%),7 (0.09),←,
7,"McIvor, Scott",26y 230d,136 (49-0-87 36.03%),58 (0.43),81 (23-0-58 28.40%),43 (0.53)
24,"Merrett, Roger",32y 342d,244 (119-3-122 49.39%),272 (1.11),95 (22-1-72 23.68%),124 (1.31)
26,"Noonan, Danny",24y 118d,40 (6-1-33 16.25%),17 (0.43),←,
3,"Voss, Michael",17y 263d,7 (2-0-5 28.57%),6 (0.86),←,
33,"White, Darryl",19y 288d,20 (4-1-15 22.50%),17 (0.85),←,
Totals,Totals,23y 195d,1061 (325-14-722 30.63%),624 (0.59),,
C,"Walls, Robert",42y 249d,244 (122-2-120 50.41%),,45 (7-1-37 16.67%),
