Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
15,"Banik, Anthony",17,4,8,25,,,,,,,,,2.0,,,,,,,,,,
46,"Campbell, Wayne",10,5,7,17,1,1.0,,1.0,,,,,1.0,,,,,,,,,,
16,"Cloke, David",4,5,13,17,1,,11.0,,,,,,,2.0,,,,,,,,,
30,"Free, Tony",20,4,1,21,,,,,,,,,1.0,1.0,,,,,,,,,
34,"Hogg, Jeff",12,3,1,13,3,1.0,,1.0,,,,,2.0,2.0,,,,,,,,,
42,"Honybun, David",2,1,2,4,,,2.0,,,,,,,2.0,,,,,,,,,
2,"Keays, Terry",9,2,3,12,3,2.0,,,,,,,2.0,2.0,,,,,,,,,
33,"Knights, Matthew",12,3,14,26,,,,1.0,,,,,,3.0,,,,,,,,,
4,"Lambert, Craig",18,6,13,31,2,3.0,,1.0,,,,,,1.0,,,,,,,,,
26,"Leys, Brian",9,2,5,14,,,,,,,,,1.0,3.0,,,,,,,,,
39,"Mrakov, John",11,9,7,18,,,,,,,,,,1.0,,,,,,,,,
6,"Naish, Chris",3,,2,5,1,,,,,,,,,,,,,,,,,,
22,"Nichols, Trent",10,2,4,14,1,,,,,,,,,1.0,,,,,,,,,
9,"Pickering, Justin",3,1,5,8,,,,,,,,,,3.0,,,,,,,,,
35,"Pickering, Michael",12,6,7,19,4,1.0,,2.0,,,,,3.0,,,,,,,,,,
21,"Powell, Tim",8,1,7,15,,,,,,,,,,1.0,,,,,,,,,
8,"Ryan, Stephen",9,3,4,13,,,,1.0,,,,,1.0,2.0,,,,,,,,,
41,"Turner, Scott",3,,,3,,,,1.0,,,,,,2.0,,,,,,,,,
12,"Underwood, Andrew",16,2,8,24,1,1.0,,,,,,,1.0,1.0,,,,,,,,,
3,"Weightman, Dale",17,1,12,29,2,1.0,,1.0,,,,,,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,205,60,123,328,19,14.0,13.0,9.0,,,,,14.0,28.0,,,,,,,,,
Opposition,Opposition,225,74,129,354,26,16.0,16.0,25.0,,,,,28.0,14.0,6.0,,,,,,,,
