Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Bennell, Harley",14,1,14,28,,2.0,2.0,1.0,,8.0,5.0,4.0,,2.0,,13.0,12.0,,,,,2.0,87.0
12,"Day, Sam",4,2,5,9,1,,1.0,,,1.0,,,,,,5.0,4.0,1.0,2.0,1.0,,,90.0
41,"Garlett, Jarrod",6,1,5,11,1,2.0,,4.0,,5.0,1.0,,,,,6.0,4.0,,,2.0,4.0,,79.0
15 ↓,"Gorringe, Daniel",1,,4,5,,,2.0,2.0,,,,1.0,,,,4.0,2.0,,,,,,57.0
33,"Hall, Aaron",7,,7,14,1,,,,,4.0,2.0,,,,,5.0,8.0,,,,,,85.0
28,"Kolodjashnij, Kade",5,3,6,11,,,,2.0,1.0,,1.0,,1.0,,,4.0,7.0,,,3.0,,,89.0
40,"Lemmens, Sean",10,2,4,14,,,,3.0,1.0,4.0,1.0,5.0,,2.0,,5.0,8.0,1.0,,1.0,,,84.0
19,"Lynch, Tom",16,6,3,19,3,3.0,1.0,1.0,1.0,7.0,,4.0,1.0,2.0,,9.0,12.0,2.0,2.0,4.0,2.0,,95.0
7,"Malceski, Nick",10,2,5,15,,,,3.0,4.0,3.0,3.0,3.0,1.0,,,7.0,9.0,,,1.0,,,74.0
4,"Martin, Jack",13,7,8,21,3,2.0,,5.0,,1.0,2.0,2.0,,1.0,,6.0,15.0,1.0,4.0,1.0,,,79.0
32,"Matera, Brandon",6,1,5,11,2,,,2.0,,2.0,,,2.0,,,7.0,6.0,1.0,,,,1.0,85.0
17,"May, Steven",14,7,6,20,,,,1.0,9.0,1.0,,4.0,1.0,2.0,,8.0,10.0,2.0,,7.0,,1.0,93.0
18,"McKenzie, Trent",13,4,5,18,,,,1.0,2.0,6.0,3.0,2.0,2.0,1.0,,8.0,10.0,1.0,,2.0,,,79.0
44,"Miller, Touk",12,6,6,18,1,2.0,,5.0,,3.0,,,,,,2.0,14.0,,1.0,,,1.0,82.0
10,"Prestia, Dion",15,1,14,29,,,,6.0,1.0,6.0,11.0,3.0,,2.0,,19.0,10.0,,,2.0,,,80.0
35,"Rischitelli, Michael",21,4,6,27,1,3.0,,5.0,1.0,7.0,8.0,3.0,4.0,,2.0,14.0,11.0,,1.0,2.0,1.0,1.0,83.0
42,"Saad, Adam",10,5,6,16,,,,2.0,2.0,2.0,,,,,,5.0,10.0,1.0,,3.0,4.0,,79.0
26 ↑,"Shaw, Matt",9,8,6,15,,,2.0,1.0,2.0,3.0,2.0,1.0,,,,5.0,10.0,1.0,,2.0,2.0,,37.0
2,"Smith, Zac",4,1,11,15,,,35.0,2.0,2.0,,6.0,1.0,3.0,,,10.0,4.0,,,3.0,,1.0,94.0
24,"Swallow, David",10,2,10,20,,,1.0,3.0,1.0,3.0,9.0,3.0,,,,15.0,3.0,1.0,,,,,82.0
48,"Tape, Seb",4,1,5,9,,,,5.0,2.0,1.0,,1.0,,,,3.0,6.0,,,3.0,,1.0,90.0
16,"Thompson, Rory",6,5,4,10,,,,,1.0,,,2.0,,1.0,,5.0,4.0,2.0,,8.0,,,96.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,210,69,145,355,13,18.0,44.0,54.0,30.0,67.0,54.0,39.0,15.0,13.0,2.0,165.0,179.0,14.0,10.0,45.0,13.0,8.0,
Opposition,Opposition,211,70,162,373,16,9.0,40.0,64.0,47.0,52.0,40.0,47.0,13.0,15.0,4.0,152.0,210.0,7.0,7.0,51.0,3.0,11.0,
