Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",30y 124d,233 (143-0-90 61.37%),130 (0.56),←,
27,"Baird, John",23y 45d,31 (17-1-13 56.45%),5 (0.16),←,
16,"Brown, Leigh",21y 153d,80 (28-1-51 35.63%),29 (0.36),17 (9-1-7 55.88%),9 (0.53)
22,"Burton, Matthew",33y 68d,143 (60-0-83 41.96%),63 (0.44),73 (38-0-35 52.05%),31 (0.42)
23,"Clayton, Shane",24y 275d,112 (58-1-53 52.23%),52 (0.46),94 (56-1-37 60.11%),51 (0.54)
6,"Grant, Shannon",26y 98d,187 (110-2-75 59.36%),207 (1.11),129 (78-1-50 60.85%),169 (1.31)
39,"Harding, Leigh",22y 91d,40 (21-1-18 53.75%),66 (1.65),←,
4,"Harris, Daniel",21y 77d,23 (11-1-11 50.00%),6 (0.26),←,
29,"Harvey, Brent",25y 73d,145 (89-1-55 61.72%),167 (1.15),←,
21,"Jones, Corey",22y 150d,33 (15-0-18 45.45%),29 (0.88),←,
35,"Makepeace, Troy",24y 142d,79 (41-1-37 52.53%),18 (0.23),←,
19,"Motlop, Daniel",21y 132d,17 (5-1-11 32.35%),11 (0.65),←,
20,"Petrie, Drew",20y 284d,36 (17-1-18 48.61%),32 (0.89),←,
17,"Porter, Mark",26y 288d,90 (46-1-43 51.67%),20 (0.22),35 (18-1-16 52.86%),7 (0.20)
3,"Rawlings, Brady",22y 46d,65 (39-0-26 60.00%),24 (0.37),←,
30,"Robbins, Ben",26y 211d,88 (44-3-41 51.70%),20 (0.23),36 (19-1-16 54.17%),6 (0.17)
26,"Rocca, Saverio",29y 248d,210 (96-3-111 46.43%),630 (3.00),54 (26-1-27 49.07%),116 (2.15)
7,"Simpson, Adam",27y 160d,175 (111-1-63 63.71%),54 (0.31),←,
9,"Sinclair, Jess",24y 334d,100 (37-1-62 37.50%),50 (0.50),50 (24-1-25 49.00%),24 (0.48)
10,"Stevens, Anthony",32y 24d,269 (163-1-105 60.78%),121 (0.45),←,
36,"Watt, Shannon",22y 242d,43 (22-1-20 52.33%),4 (0.09),←,
8,"Wells, Daniel",18y 173d,13 (8-1-4 65.38%),7 (0.54),←,
Totals,Totals,24y 322d,2212 (1181-23-1008 53.39%),1745 (0.79),,
C,"Laidley, Dani",36y 121d,17 (9-1-7 55.88%),,←,
