Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",12,3,14,26,,1.0,,3.0,,,,,2.0,,,,,,,,,,
18,"Cameron, Leon",8,1,7,15,1,1.0,,,,,,,,,,,,,,,,,
20,"Coleman, Glenn",6,5,7,13,,1.0,,,,,,,3.0,1.0,,,,,,,,,
4,"Davies, Darren",5,2,1,6,,,,1.0,,,,,,,,,,,,,,,
12,"Eppelstun, Greg",10,3,9,19,,,,1.0,,,,,1.0,2.0,,,,,,,,,
32,"Foster, Peter",16,8,8,24,,,,,,,,,3.0,1.0,,,,,,,,,
29,"Grant, Chris",7,4,1,8,4,1.0,,,,,,,1.0,3.0,,,,,,,,,
30,"Harrington, Tim",3,,5,8,,,,1.0,,,,,2.0,,,,,,,,,,
7,"Hawkins, Doug",14,5,7,21,1,1.0,,,,,,,,,,,,,,,,,
43,"Hogg, Matthew",6,,2,8,,,,2.0,,,,,1.0,1.0,,,,,,,,,
21,"Kolyniuk, Steven",14,4,9,23,2,1.0,,1.0,,,,,2.0,1.0,,,,,,,,,
39,"Liberatore, Tony",16,2,7,23,1,,,6.0,,,,,1.0,2.0,2.0,,,,,,,,
11,"McGuinness, Tony",13,1,5,18,1,2.0,,2.0,,,,,1.0,,,,,,,,,,
40,"Moloney, Troy",8,,3,11,,,,,,,,,1.0,,,,,,,,,,
14,"Reynolds, Keenan",10,4,4,14,,,,,,,,,1.0,2.0,,,,,,,,,
13,"Svilar, Michael",4,2,5,9,,,,,,,,,,1.0,,,,,,,,,
16,"Wallace, Terry",10,4,10,20,,,,1.0,,,,,1.0,,,,,,,,,,
24,"Wallis, Stephen",12,3,13,25,1,,,,,,,,1.0,,,,,,,,,,
6,"Wigney, Stuart",13,7,2,15,,5.0,1.0,1.0,,,,,1.0,2.0,,,,,,,,,
15,"Wynd, Scott",4,6,9,13,1,,8.0,5.0,,,,,1.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,191,64,128,319,12,15.0,9.0,24.0,,,,,23.0,16.0,2.0,,,,,,,,
Opposition,Opposition,189,69,70,259,12,13.0,14.0,9.0,,,,,16.0,23.0,4.0,,,,,,,,
