Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
31,"Alvin, Tom",28y 91d,128 (78-1-49 61.33%),43 (0.34),←,
21,"Bradley, Craig",26y 271d,109 (70-1-38 64.68%),85 (0.78),←,
5,"Da Rui, Steven",26y 122d,46 (29-1-16 64.13%),5 (0.11),←,
6,"Dorotich, Jon",28y 85d,87 (54-1-32 62.64%),56 (0.64),←,
32,"Glascott, David",29y 85d,167 (109-1-57 65.57%),80 (0.48),←,
12,"Gleeson, Adrian",23y 82d,83 (53-1-29 64.46%),88 (1.06),←,
13,"Hanna, Mil",24y 107d,61 (33-1-27 54.92%),19 (0.31),←,
11,"Hawker, Glenn",29y 126d,220 (138-2-80 63.18%),192 (0.87),20 (11-1-8 57.50%),20 (1.00)
7,"Johnston, Wayne",32y 214d,207 (141-1-65 68.36%),283 (1.37),←,
28,"Kernahan, David",25y 10d,21 (11-0-10 52.38%),7 (0.33),←,
4,"Kernahan, Stephen",26y 323d,110 (70-1-39 64.09%),295 (2.68),←,
44,"Madden, Justin",29y 51d,198 (126-1-71 63.89%),142 (0.72),153 (96-1-56 63.07%),122 (0.80)
29,"Minton-Connell, Simon",21y 86d,4 (3-0-1 75.00%),12 (3.00),←,
30,"Murphy, Fraser",27y 200d,103 (69-0-34 66.99%),153 (1.49),←,
27,"OSullivan, Luke",22y 115d,12 (5-0-7 41.67%),8 (0.67),←,
19,"Phillips, Andrew",20y 175d,16 (8-1-7 53.13%),13 (0.81),←,
36,"Rieniets, Tim",24y 98d,9 (6-0-3 66.67%),3 (0.33),←,
18,"Sartori, Peter",25y 270d,40 (26-0-14 65.00%),87 (2.17),←,
1,"Silvagni, Stephen",23y 51d,91 (60-0-31 65.93%),59 (0.65),←,
15,"Verbeek, Simon",23y 114d,23 (11-1-11 50.00%),31 (1.35),←,
Totals,Totals,25y 316d,1735 (1100-14-621 63.40%),1661 (0.96),,
C,"Jesaulenko, Alex",44y 353d,134 (64-3-67 48.88%),,70 (51-1-18 73.57%),
