Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
22,"Addison, Dylan",7,3,5,12,,,,3.0,1.0,,,2.0,1.0,1.0,,4.0,7.0,,,2.0,,,91.0
5,"Boyd, Matthew",12,8,16,28,2,1.0,,6.0,1.0,3.0,7.0,3.0,2.0,2.0,1.0,13.0,15.0,,1.0,1.0,,,94.0
17,"Cooney, Adam",11,4,12,23,,,,2.0,,3.0,4.0,2.0,,,,11.0,10.0,,,,1.0,1.0,74.0
4,"Cross, Daniel",6,5,19,25,,,4.0,6.0,1.0,,2.0,1.0,3.0,,,10.0,17.0,1.0,,4.0,,1.0,84.0
40,"Dahlhaus, Luke",9,3,13,22,,,,3.0,,7.0,2.0,1.0,1.0,1.0,,11.0,10.0,1.0,,,1.0,1.0,79.0
29 ↑,"Dickson, Tory",3,2,5,8,,,,,1.0,1.0,1.0,,,,,4.0,4.0,,,,,,26.0
33,"Djerrkura, Nathan",11,5,4,15,1,1.0,,3.0,,3.0,,1.0,1.0,,,5.0,9.0,,,2.0,1.0,,80.0
13,"Giansiracusa, Daniel",14,5,6,20,1,1.0,,1.0,,4.0,,1.0,1.0,1.0,,7.0,12.0,,3.0,1.0,,3.0,93.0
1,"Grant, Jarrad",7,3,6,13,1,,,5.0,2.0,3.0,1.0,,1.0,,,4.0,11.0,,1.0,1.0,,,84.0
16,"Griffen, Ryan",20,4,11,31,,,,3.0,5.0,4.0,6.0,3.0,,1.0,2.0,10.0,21.0,,,4.0,3.0,,81.0
25,"Hargrave, Ryan",16,7,10,26,,,,1.0,5.0,3.0,,3.0,,,,1.0,23.0,1.0,,3.0,,,93.0
7,"Higgins, Shaun",13,6,10,23,,2.0,,3.0,3.0,2.0,,4.0,,2.0,,4.0,19.0,,1.0,1.0,,,80.0
19,"Jones, Liam",7,4,1,8,2,1.0,,,,1.0,,2.0,1.0,,,4.0,4.0,2.0,3.0,1.0,,,93.0
36,"Lake, Brian",16,10,7,23,,,,,5.0,1.0,,,1.0,,,7.0,16.0,1.0,,6.0,,,92.0
21,"Liberatore, Tom",7,3,6,13,,,,4.0,2.0,2.0,3.0,,1.0,,,5.0,8.0,,,,,,77.0
37,"Markovic, Lukas",11,9,5,16,,,,2.0,2.0,1.0,,3.0,,1.0,,6.0,11.0,4.0,,7.0,1.0,,95.0
27,"Minson, Will",5,2,6,11,,,19.0,1.0,,3.0,2.0,2.0,1.0,,,3.0,6.0,,,5.0,,,86.0
2,"Murphy, Robert",19,8,7,26,,,,4.0,5.0,1.0,,2.0,,1.0,,2.0,21.0,,,2.0,6.0,,93.0
42,"Picken, Liam",9,5,19,28,1,,,4.0,2.0,2.0,4.0,2.0,1.0,,,12.0,16.0,,1.0,2.0,,,84.0
23,"Roughead, Jordan",6,3,4,10,1,,8.0,4.0,,2.0,,2.0,,1.0,,3.0,6.0,,1.0,7.0,,,82.0
14 ↓,"Smith, Clay",9,4,5,14,,1.0,,3.0,1.0,3.0,,7.0,,3.0,,2.0,12.0,,,1.0,,,50.0
10,"Wood, Easton",8,4,6,14,,,,2.0,1.0,1.0,,1.0,2.0,,,5.0,9.0,1.0,,2.0,1.0,1.0,89.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,226,107,183,409,9,10.0,31.0,60.0,37.0,50.0,32.0,42.0,17.0,14.0,3.0,133.0,267.0,11.0,11.0,52.0,14.0,7.0,
Opposition,Opposition,215,102,145,360,11,16.0,41.0,53.0,34.0,49.0,33.0,38.0,14.0,17.0,3.0,141.0,217.0,16.0,13.0,54.0,6.0,6.0,
