Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",6,2,7,13,1,,,1.0,,,,,,1.0,,,,,,,,,
22,"Bain, David",11,,7,18,,,,4.0,,,,,2.0,,,,,,,,,,
11,"Buckley, Nathan",24,7,4,28,2,,1.0,,,,,,,,3.0,,,,,,,,
1,"Champion, Richard",8,8,3,11,1,2.0,1.0,,,,,,,1.0,,,,,,,,,
5,"Chapman, Nathan",10,,5,15,,,,1.0,,,,,5.0,,,,,,,,,,
12,"Clarke, Troy",15,3,8,23,1,2.0,,1.0,,,,,1.0,1.0,1.0,,,,,,,,
20,"Craven, Danny",15,1,16,31,1,,,2.0,,,,,2.0,,,,,,,,,,
6,"Fletcher, Adrian",11,5,15,26,,1.0,,3.0,,,,,2.0,3.0,,,,,,,,,
29,"Francis, Fabian",14,,3,17,3,3.0,,3.0,,,,,3.0,,,,,,,,,,
4,"Gastev, John",10,3,8,18,,,,3.0,,,,,3.0,2.0,,,,,,,,,
41,"Kennedy, Matthew",18,8,6,24,2,,12.0,2.0,,,,,2.0,2.0,2.0,,,,,,,,
17,"Leslie, Martin",5,7,15,20,,,,2.0,,,,,,1.0,,,,,,,,,
31,"McCormack, Brendan",12,3,9,21,4,1.0,,,,,,,1.0,,,,,,,,,,
19,"McLean, Michael",6,3,12,18,,,,4.0,,,,,,2.0,,,,,,,,,
24,"Merrett, Roger",12,1,3,15,8,3.0,1.0,1.0,,,,,8.0,3.0,,,,,,,,,
27,"Murphy, Michael",12,8,5,17,8,3.0,,,,,,,3.0,2.0,,,,,,,,,
26,"Noonan, Danny",11,2,10,21,,,,1.0,,,,,1.0,3.0,,,,,,,,,
38,"Scott, Dion",6,2,6,12,,1.0,11.0,4.0,,,,,1.0,,,,,,,,,,
15,"Spargo, Paul",11,4,6,17,2,,,3.0,,,,,2.0,1.0,,,,,,,,,
3,"Voss, Michael",9,7,6,15,,,,1.0,,,,,,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,226,74,154,380,33,21.0,26.0,36.0,,,,,36.0,23.0,6.0,,,,,,,,
Opposition,Opposition,151,40,103,254,8,9.0,22.0,39.0,,,,,23.0,36.0,,,,,,,,,
