Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
2,"Armstrong, Steven",19y 154d,21 (12-0-9 57.14%),8 (0.38),←,
3,"Bizzell, Clint",26y 352d,109 (47-1-61 43.58%),77 (0.71),34 (15-0-19 44.12%),5 (0.15)
32,"Bruce, Cameron",23y 258d,75 (38-0-37 50.67%),80 (1.07),←,
30,"Godfrey, Simon",22y 240d,36 (16-0-20 44.44%),4 (0.11),←,
18,"Green, Brad",22y 94d,74 (37-0-37 50.00%),116 (1.57),←,
1,"Heffernan, Chris",24y 137d,109 (70-1-38 64.68%),41 (0.38),12 (3-0-9 25.00%),3 (0.25)
40,"Jamar, Mark",19y 310d,7 (2-0-5 28.57%),2 (0.29),←,
16,"Johnstone, Travis",22y 333d,78 (36-0-42 46.15%),62 (0.79),←,
11,"Jolly, Darren",21y 221d,31 (14-0-17 45.16%),10 (0.32),←,
29,"Lamb, Chris",22y 96d,21 (9-0-12 42.86%),1 (0.05),←,
36,"Leoncelli, Andrew",28y 333d,142 (64-0-78 45.07%),66 (0.46),←,
23,"McDonald, James",26y 253d,104 (50-0-54 48.08%),32 (0.31),←,
37,"Miller, Brad",19y 344d,12 (4-0-8 33.33%),,←,
9,"Neitz, David",28y 144d,216 (98-0-118 45.37%),397 (1.84),←,
8,"Nicholson, Alistair",25y 103d,66 (33-0-33 50.00%),3 (0.05),←,
24,"Robertson, Russell",24y 203d,112 (55-0-57 49.11%),171 (1.53),←,
6,"Thompson, Scott",20y 93d,22 (7-0-15 31.82%),7 (0.32),←,
19,"Vardy, Peter",27y 140d,126 (61-0-65 48.41%),194 (1.54),30 (13-0-17 43.33%),44 (1.47)
42,"Walsh, Peter",26y 326d,81 (41-0-40 50.62%),20 (0.25),←,
45,"Whelan, Matthew",23y 214d,58 (27-0-31 46.55%),6 (0.10),←,
26,"Williams, Luke",23y 168d,37 (17-0-20 45.95%),6 (0.16),←,
13,"Yze, Adem",25y 267d,177 (78-0-99 44.07%),127 (0.72),←,
Totals,Totals,23y 350d,1714 (816-2-896 47.61%),1430 (0.83),,
C,"Daniher, Neale",42y 120d,130 (64-0-66 49.23%),,←,
