Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
27,"Alessio, Steven",8,6,6,14,,1.0,12.0,1.0,,,,,,2.0,,,,,,,,,
8,"Bewick, Darren",14,1,7,21,1,3.0,,1.0,,,,,1.0,,,,,,,,,,
23,"Cransberg, Peter",4,,3,7,,,,2.0,,,,,1.0,1.0,,,,,,,,,
6,"Daniher, Anthony",7,3,7,14,,,1.0,,,,,,1.0,2.0,,,,,,,,,
7,"Daniher, Chris",12,3,9,21,,,1.0,,,,,,4.0,1.0,,,,,,,,,
38,"Denham, Sean",2,,4,6,,,,1.0,,,,,,1.0,,,,,,,,,
29,"Grenvold, David",8,4,4,12,,1.0,,,,,,,1.0,2.0,,,,,,,,,
1,"Harvey, Mark",13,4,5,18,2,1.0,,2.0,,,,,3.0,2.0,,,,,,,,,
11,"Hills, Paul",13,2,7,20,,,,1.0,,,,,,2.0,,,,,,,,,
5,"Hird, James",15,8,5,20,1,,1.0,1.0,,,,,,,,,,,,,,,
9,"Kickett, Derek",8,4,8,16,1,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,
2,"Mercuri, Mark",9,5,5,14,,,,3.0,,,,,,2.0,,,,,,,,,
24,"Misiti, Joe",17,4,6,23,1,1.0,,,,,,,,,,,,,,,,,
10,"ODonnell, Gary",13,2,11,24,1,,,2.0,,,,,1.0,3.0,,,,,,,,,
47,"Olarenshaw, Ricky",9,2,6,15,2,,,4.0,,,,,2.0,2.0,,,,,,,,,
3,"Salmon, Paul",11,7,1,12,5,2.0,3.0,,,,,,2.0,1.0,,,,,,,,,
19,"Somerville, Peter",1,3,2,3,,1.0,5.0,,,,,,,2.0,,,,,,,,,
17,"Sporn, Kieran",9,1,3,12,1,,,,,,,,1.0,4.0,,,,,,,,,
26,"Thompson, Mark",15,5,12,27,,,,1.0,,,,,1.0,1.0,,,,,,,,,
4,"Wanganeen, Gavin",17,2,7,24,1,,,2.0,,,,,1.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,205,66,118,323,16,13.0,23.0,22.0,,,,,20.0,29.0,,,,,,,,,
Opposition,Opposition,222,77,93,315,21,13.0,22.0,35.0,,,,,29.0,20.0,6.0,,,,,,,,
