Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
1,"Boak, Travis",29y 325d,234 (113-1-120 48.50%),151 (0.65),←,
26,"Bonner, Riley",21y 107d,17 (12-0-5 70.59%),3 (0.18),←,
33,"Byrne-Jones, Darcy",22y 275d,56 (32-0-24 57.14%),5 (0.09),←,
17,"Clurey, Tom",24y 91d,53 (33-0-20 62.26%),,←,
22,"Dixon, Charlie",27y 272d,119 (50-1-68 42.44%),185 (1.55),54 (31-0-23 57.41%),91 (1.69)
7,"Ebert, Brad",28y 81d,226 (106-1-119 47.12%),113 (0.50),150 (78-1-71 52.33%),80 (0.53)
9,"Gray, Robbie",30y 84d,190 (92-0-98 48.42%),279 (1.47),←,
46,"Gray, Sam",26y 141d,70 (43-0-27 61.43%),61 (0.87),←,
43,"Houston, Dan",21y 41d,30 (20-0-10 66.67%),4 (0.13),←,
32,"Howard, Dougal",22y 89d,23 (15-0-8 65.22%),4 (0.17),←,
42,"Jonas, Tom",27y 164d,115 (60-1-54 52.61%),1 (0.01),←,
13,"Marshall, Todd",19y 257d,9 (7-0-2 77.78%),10 (1.11),←,
6,"Motlop, Steven",27y 102d,148 (99-2-47 67.57%),184 (1.24),13 (9-0-4 69.23%),9 (0.69)
29,"Pittard, Jasper",27y 82d,119 (64-0-55 53.78%),11 (0.09),←,
21,"Polec, Jared",25y 253d,97 (56-0-41 57.73%),53 (0.55),81 (49-0-32 60.49%),44 (0.54)
2,"Powell-Pepper, Sam",20y 165d,31 (21-0-10 67.74%),20 (0.65),←,
11,"Rockliff, Tom",28y 120d,164 (54-0-110 32.93%),94 (0.57),10 (8-0-2 80.00%),7 (0.70)
4,"Ryder, Paddy",30y 100d,218 (109-4-105 50.92%),150 (0.69),48 (30-0-18 62.50%),33 (0.69)
48,"Thomas, Lindsay",30y 114d,208 (101-2-105 49.04%),328 (1.58),3 (2-0-1 66.67%),3 (1.00)
39,"Westhoff, Justin",31y 264d,239 (115-1-123 48.33%),278 (1.16),←,
16,"Wines, Ollie",23y 258d,120 (68-0-52 56.67%),56 (0.47),←,
20,"Wingard, Chad",24y 328d,138 (73-1-64 53.26%),222 (1.61),←,
Totals,Totals,25y 351d,2624 (1343-14-1267 51.18%),2212 (0.84),,
C,"Hinkley, Ken",51y 265d,128 (74-0-54 57.81%),,←,
