Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
16,"Croft, Matthew",23y 69d,41 (22-2-17 56.10%),18 (0.44),←,
11,"Curley, Todd",23y 112d,9 (3-1-5 38.89%),9 (1.00),6 (1-1-4 25.00%),8 (1.33)
14,"Darcy, Luke",20y 298d,9 (2-1-6 27.78%),3 (0.33),←,
32,"Ellis, Craig",20y 336d,11 (5-0-6 45.45%),,←,
3,"Grant, Chris",23y 144d,128 (66-3-59 52.73%),264 (2.06),←,
13,"Jakovich, Allen",28y 45d,50 (25-1-24 51.00%),202 (4.04),3 (0-1-2 16.67%),1 (0.33)
6,"Johnson, Brad",19y 292d,36 (15-2-19 44.44%),21 (0.58),←,
4,"Kellett, Nigel",26y 139d,84 (42-2-40 51.19%),40 (0.48),←,
35,"Kretiuk, Steven",23y 306d,49 (29-1-19 60.20%),9 (0.18),←,
39,"Liberatore, Tony",30y 84d,157 (84-3-70 54.46%),76 (0.48),←,
9,"Nicholson, Brad",21y 336d,32 (15-2-15 50.00%),1 (0.03),←,
44,"Osborne, Richard",31y 324d,250 (104-2-144 42.00%),544 (2.18),47 (23-2-22 51.06%),94 (2.00)
22,"Quill, Peter",26y 256d,48 (27-2-19 58.33%),16 (0.33),←,
36,"Romero, Jose",24y 278d,111 (58-1-52 52.70%),111 (1.00),22 (9-1-12 43.18%),13 (0.59)
38,"Sir, Sedat",21y 60d,12 (3-1-8 29.17%),,←,
5,"Smith, Rohan",22y 340d,59 (31-2-26 54.24%),26 (0.44),←,
24,"Wallis, Stephen",31y 191d,245 (126-4-115 52.24%),57 (0.23),←,
25,"Watts, Jason",24y 281d,36 (18-1-17 51.39%),17 (0.47),←,
7,"West, Scott",21y 173d,66 (33-1-32 50.76%),36 (0.55),←,
45,"Wira, Brad",24y 50d,7 (1-1-5 21.43%),,6 (1-1-4 25.00%),
15,"Wynd, Scott",26y 101d,132 (65-3-64 50.38%),24 (0.18),←,
Totals,Totals,24y 236d,1572 (774-36-762 49.24%),1474 (0.94),,
C,"Joyce, Alan",53y 197d,144 (91-2-51 63.89%),,51 (24-2-25 49.02%),
