Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
18,"Cameron, Jeremy",23y 148d,91 (31-0-60 34.07%),232 (2.55),←,
3,"Coniglio, Stephen",22y 256d,83 (34-0-49 40.96%),32 (0.39),←,
1,"Davis, Phil",25y 363d,95 (40-0-55 42.11%),6 (0.06),77 (29-0-48 37.66%),5 (0.06)
4,"Greene, Toby",22y 337d,96 (33-0-63 34.38%),73 (0.76),←,
32,"Griffen, Ryan",30y 31d,236 (118-1-117 50.21%),146 (0.62),34 (21-0-13 61.76%),16 (0.47)
19,"Haynes, Nick",24y 101d,60 (24-0-36 40.00%),6 (0.10),←,
2,"Hopper, Jacob",19y 203d,8 (6-0-2 75.00%),5 (0.63),←,
17,"Johnson, Steve",33y 54d,274 (193-3-78 70.99%),495 (1.81),21 (15-0-6 71.43%),43 (2.05)
22,"Kelly, Josh",21y 197d,58 (29-0-29 50.00%),34 (0.59),←,
37,"Lobb, Rory",23y 200d,33 (19-0-14 57.58%),33 (1.00),←,
41,"Mumford, Shane",30y 53d,149 (97-2-50 65.77%),47 (0.32),49 (28-0-21 57.14%),8 (0.16)
24,"Patfull, Joel",31y 264d,218 (96-3-119 44.72%),26 (0.12),36 (23-0-13 63.89%),2 (0.06)
12,"Patton, Jonathon",23y 99d,53 (23-0-30 43.40%),71 (1.34),←,
9,"Scully, Tom",25y 104d,125 (45-1-79 36.40%),55 (0.44),94 (32-0-62 34.04%),49 (0.52)
23,"Shaw, Heath",30y 274d,235 (143-2-90 61.28%),38 (0.16),62 (33-0-29 53.23%),1 (0.02)
5,"Shiel, Dylan",23y 171d,85 (30-0-55 35.29%),46 (0.54),←,
10,"Smith, Devon",23y 99d,91 (28-0-63 30.77%),83 (0.91),←,
20,"Tomlinson, Adam",23y 17d,65 (17-0-48 26.15%),18 (0.28),←,
8,"Ward, Callan",26y 139d,165 (67-0-98 40.61%),84 (0.51),105 (35-0-70 33.33%),51 (0.49)
6,"Whitfield, Lachie",22y 40d,70 (27-0-43 38.57%),32 (0.46),←,
29,"Williams, Zac",21y 342d,51 (23-0-28 45.10%),13 (0.25),←,
16,"Wilson, Nathan",23y 233d,51 (24-0-27 47.06%),12 (0.24),←,
Totals,Totals,25y 37d,2392 (1147-12-1233 47.95%),1587 (0.66),,
C,"Cameron, Leon",43y 360d,66 (33-0-33 50.00%),,←,
