Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
1,"Chapman, Nathan",6.0,2.0,3.0,9.0,,,,2.0,1.0,2.0,,1.0,,1.0,,,,,,,,,
17,"Chick, Daniel",11.0,4.0,9.0,20.0,,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
23,"Crawford, Justin",5.0,2.0,3.0,8.0,1.0,,,2.0,,,,,,,,,,,,,,,
9,"Crawford, Shane",21.0,11.0,4.0,25.0,,,,5.0,8.0,2.0,,,3.0,,1.0,,,,,,,,
32,"Dixon, Ben",9.0,5.0,4.0,13.0,,1.0,,1.0,1.0,3.0,,,2.0,,,,,,,,,,
19,"Dunstall, Jason",12.0,8.0,3.0,15.0,9.0,3.0,,1.0,,1.0,,,2.0,,3.0,,,,,,,,
5,"Harford, Daniel",15.0,5.0,7.0,22.0,,,,,3.0,3.0,5.0,1.0,2.0,2.0,,,,,,,,,
13,"Hassall, Jon",5.0,2.0,2.0,7.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,
3,"Hay, Jonathan",13.0,5.0,5.0,18.0,,,1.0,2.0,7.0,,,1.0,2.0,,,,,,,,,,
2,"Holland, Nick",11.0,7.0,2.0,13.0,,,3.0,1.0,,7.0,1.0,1.0,,3.0,,,,,,,,,
11,"Kappler, Darren",11.0,2.0,6.0,17.0,,,,2.0,1.0,7.0,5.0,,,,,,,,,,,,
14,"Krummel, Brendan",2.0,5.0,9.0,11.0,,,2.0,4.0,1.0,1.0,2.0,,2.0,,,,,,,,,,
37,"Lekkas, Angelo",12.0,1.0,2.0,14.0,1.0,,,5.0,1.0,4.0,4.0,2.0,,,,,,,,,,,
15,"Lord, Aaron",17.0,4.0,4.0,21.0,1.0,3.0,,3.0,,5.0,2.0,6.0,1.0,3.0,,,,,,,,,
7,"McCabe, Luke",12.0,3.0,4.0,16.0,,1.0,,3.0,2.0,2.0,1.0,2.0,,1.0,,,,,,,,,
20,"Rawlings, Jade",,,,,,,,,,,,,,,,,,,,,,,
10,"Robran, Jonathon",11.0,5.0,3.0,14.0,1.0,,1.0,2.0,3.0,2.0,1.0,2.0,,1.0,,,,,,,,,
4,"Salmon, Paul",5.0,3.0,10.0,15.0,,,23.0,1.0,3.0,1.0,11.0,1.0,6.0,1.0,,,,,,,,,
29,"Tallis, Rayden",8.0,2.0,6.0,14.0,,,,4.0,2.0,,3.0,,1.0,1.0,,,,,,,,,
6,"Taylor, Richard",16.0,6.0,4.0,20.0,,1.0,,1.0,1.0,4.0,4.0,,,1.0,,,,,,,,,
8,"Treleven, Craig",4.0,1.0,1.0,5.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
30,"Woods, Tony",13.0,3.0,4.0,17.0,,,,3.0,4.0,4.0,2.0,1.0,,2.0,,,,,,,,,
Totals,Totals,219.0,86.0,95.0,314.0,13.0,9.0,32.0,45.0,41.0,50.0,44.0,19.0,22.0,17.0,4.0,,,,,,,,
Opposition,Opposition,215.0,93.0,123.0,338.0,13.0,15.0,21.0,24.0,36.0,56.0,28.0,16.0,17.0,22.0,2.0,,,,,,,,
