Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
14,"Bird, Craig",25y 67d,112 (65-2-45 58.93%),48 (0.43),←,
7,"Cunningham, Harry",20y 113d,8 (4-0-4 50.00%),6 (0.75),←,
19,"Derickx, Tom",26y 112d,3 (1-0-2 33.33%),,1 (0-0-1 0.00%),
23,"Franklin, Lance",27y 58d,184 (109-1-74 59.51%),583 (3.17),2 (0-0-2 0.00%),3 (1.50)
39,"Grundy, Heath",27y 300d,141 (82-2-57 58.87%),22 (0.16),←,
4,"Hannebery, Dan",23y 33d,103 (63-2-38 62.14%),44 (0.43),←,
15,"Jack, Kieren",26y 274d,140 (79-3-58 57.50%),102 (0.73),←,
32,"Jetta, Lewis",24y 329d,80 (49-2-29 62.50%),73 (0.91),←,
12,"Kennedy, Josh",25y 282d,113 (67-2-44 60.18%),67 (0.59),100 (62-2-36 63.00%),63 (0.63)
9,"Malceski, Nick",29y 226d,153 (97-2-54 64.05%),60 (0.39),←,
21,"McGlynn, Ben",28y 235d,127 (72-2-53 57.48%),144 (1.13),83 (49-2-32 60.24%),116 (1.40)
3,"McVeigh, Jarrad",28y 356d,221 (130-4-87 59.73%),157 (0.71),←,
6,"Mitchell, Tom",20y 302d,16 (9-0-7 56.25%),12 (0.75),←,
5,"OKeefe, Ryan",33y 64d,284 (163-4-117 58.10%),260 (0.92),←,
26,"Parker, Luke",21y 155d,59 (36-1-22 61.86%),35 (0.59),←,
38,"Pyke, Mike",30y 5d,73 (43-1-29 59.59%),42 (0.58),←,
24,"Rampe, Dane",23y 300d,25 (14-1-10 58.00%),2 (0.08),←,
20,"Reid, Sam",22y 92d,58 (38-2-18 67.24%),63 (1.09),←,
25,"Richards, Ted",31y 77d,208 (121-4-83 59.13%),32 (0.15),175 (102-4-69 59.43%),13 (0.07)
16,"Rohan, Gary",22y 295d,29 (15-1-13 53.45%),24 (0.83),←,
2,"Shaw, Rhyce",32y 164d,195 (104-1-90 53.59%),42 (0.22),101 (56-1-44 55.94%),22 (0.22)
40,"Smith, Nick",25y 290d,100 (58-2-40 59.00%),9 (0.09),←,
Totals,Totals,26y 105d,2432 (1419-39-974 58.35%),1827 (0.75),,
C,"Longmire, John",43y 88d,76 (48-2-26 64.47%),,←,
