Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
21,"Aliir, Aliir",11,8,4,15,,,,1.0,2.0,1.0,,1.0,,,,5.0,10.0,1.0,,6.0,,,95.0
14,"Bergman, Miles",11,8,5,16,1,2.0,,4.0,1.0,4.0,1.0,,2.0,,,5.0,11.0,2.0,,1.0,,,91.0
7,"Burgoyne, Jase",10,5,11,21,,,,2.0,2.0,3.0,3.0,,1.0,,,9.0,11.0,,,2.0,,,80.0
3,"Burton, Ryan",15,6,3,18,,1.0,,,1.0,9.0,2.0,4.0,,1.0,,4.0,13.0,,,4.0,,,78.0
9,"Butters, Zak",14,4,10,24,1,1.0,,9.0,3.0,1.0,4.0,4.0,2.0,2.0,3.0,10.0,14.0,,,,6.0,,83.0
33,"Byrne-Jones, Darcy",5,2,3,8,,1.0,,3.0,,1.0,,2.0,,1.0,,3.0,4.0,,1.0,,,2.0,78.0
22,"Dixon, Charlie",3,2,4,7,2,,11.0,1.0,,,,1.0,2.0,1.0,,7.0,1.0,2.0,2.0,3.0,,,94.0
28,"Drew, Willem",7,3,9,16,,,,8.0,2.0,2.0,3.0,2.0,2.0,2.0,,9.0,7.0,,,,,,74.0
6,"Farrell, Kane",19,6,7,26,,,,2.0,9.0,2.0,4.0,2.0,1.0,,,7.0,15.0,,,2.0,,,86.0
19,"Georgiades, Mitch",8,6,5,13,2,1.0,,2.0,,3.0,,2.0,1.0,1.0,,3.0,10.0,,3.0,2.0,1.0,,76.0
18,"Horne-Francis, Jason",12,6,6,18,1,,,1.0,,2.0,4.0,,,,,8.0,10.0,1.0,1.0,1.0,1.0,1.0,73.0
5,"Houston, Dan",21,6,6,27,,,,4.0,6.0,5.0,,4.0,,,,4.0,18.0,1.0,,1.0,,1.0,88.0
34,"Jones, Lachie",8,5,4,12,,,,2.0,5.0,,1.0,4.0,1.0,3.0,,5.0,7.0,1.0,,1.0,,,80.0
4,"Marshall, Todd",7,5,1,8,1,,,3.0,,1.0,,3.0,1.0,,,1.0,7.0,,3.0,2.0,,,76.0
41 ↓,"McEntee, Jed",4,1,2,6,,1.0,,3.0,,1.0,,2.0,,,,3.0,4.0,,,,,,52.0
44 ↑,"Mead, Jackson",3,1,1,4,,,,,,2.0,,,,,,,4.0,,,,,,18.0
2,"Powell-Pepper, Sam",4,2,7,11,,2.0,,4.0,1.0,2.0,,3.0,,3.0,,3.0,7.0,,,1.0,,,77.0
27,"Ratugolea, Esava",5,7,7,12,,,,1.0,1.0,,,3.0,1.0,1.0,,5.0,8.0,2.0,,10.0,,,88.0
15,"Rioli, Willie",9,1,,9,1,,,4.0,1.0,4.0,1.0,3.0,1.0,1.0,,3.0,6.0,,1.0,1.0,,1.0,82.0
1,"Rozee, Connor",17,2,9,26,,1.0,,6.0,,8.0,4.0,2.0,3.0,1.0,1.0,10.0,16.0,,,1.0,,1.0,89.0
13,"Soldo, Ivan",4,1,4,8,,,54.0,5.0,,2.0,1.0,3.0,1.0,1.0,,4.0,4.0,,,3.0,,,96.0
16,"Wines, Ollie",10,2,16,26,,1.0,2.0,8.0,1.0,2.0,3.0,2.0,3.0,,,15.0,10.0,,1.0,,,,62.0
25,"Zerk-Thatcher, Brandon",5,4,2,7,,,,,1.0,1.0,,2.0,1.0,1.0,,4.0,3.0,3.0,,4.0,,,86.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,212,93,126,338,9,12.0,67.0,73.0,36.0,56.0,31.0,49.0,23.0,19.0,4.0,127.0,200.0,13.0,12.0,45.0,8.0,6.0,
Opposition,Opposition,177,66,159,336,9,9.0,25.0,53.0,47.0,46.0,40.0,59.0,19.0,23.0,2.0,138.0,195.0,7.0,6.0,42.0,3.0,7.0,
