Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
20,"Akermanis, Jason",19y 162d,32 (18-1-13 57.81%),37 (1.16),←,
10,"Ashcroft, Marcus",24y 314d,145 (48-2-95 33.79%),80 (0.55),←,
25,"Bews, Andrew",32y 16d,262 (137-2-123 52.67%),134 (0.51),55 (27-1-27 50.00%),2 (0.04)
36,"Bradshaw, Daniel",17y 257d,1 (1-0-0 100.00%),,←,
1,"Champion, Richard",28y 112d,112 (39-2-71 35.71%),34 (0.30),←,
5,"Chapman, Nathan",21y 89d,47 (15-0-32 31.91%),12 (0.26),←,
16,"Clarke, Matthew",22y 321d,62 (31-1-30 50.81%),6 (0.10),←,
14,"Dickfos, Danny",25y 309d,15 (11-1-3 76.67%),,←,
6,"Fletcher, Adrian",26y 299d,124 (58-1-65 47.18%),65 (0.52),79 (33-1-45 42.41%),45 (0.57)
8,"Gowers, Andrew",27y 115d,122 (75-1-46 61.89%),58 (0.48),33 (16-1-16 50.00%),4 (0.12)
32,"Hart, Shaun",25y 79d,95 (32-1-62 34.21%),76 (0.80),←,
27,"Keating, Clark",20y 138d,12 (8-1-3 70.83%),5 (0.42),←,
41,"Kennedy, Matthew",26y 182d,107 (35-1-71 33.18%),25 (0.23),←,
18,"Lambert, Craig",27y 304d,169 (55-1-113 32.84%),71 (0.42),46 (22-1-23 48.91%),18 (0.39)
44,"Lappin, Nigel",20y 44d,54 (27-1-26 50.93%),37 (0.69),←,
23,"Leppitsch, Justin",20y 308d,37 (17-1-19 47.30%),41 (1.11),←,
42,"Lynch, Tristan",22y 348d,14 (9-1-4 67.86%),1 (0.07),←,
2,"McAdam, Gilbert",29y 127d,107 (58-2-47 55.14%),86 (0.80),54 (28-1-25 52.78%),38 (0.70)
38,"Scott, Dion",26y 125d,50 (23-0-27 46.00%),33 (0.66),44 (22-0-22 50.00%),33 (0.75)
3,"Voss, Michael",21y 28d,73 (33-1-39 45.89%),68 (0.93),←,
33,"White, Darryl",23y 53d,85 (35-2-48 42.35%),98 (1.15),←,
Totals,Totals,24y 108d,1725 (765-23-937 44.35%),967 (0.56),,
C,"Northey, John",53y 36d,274 (140-3-131 51.64%),,18 (12-1-5 69.44%),
