Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
17,"Blease, Sam",22y 144d,28 (6-0-22 21.43%),22 (0.79),←,
10,"Byrnes, Shannon",29y 97d,120 (81-0-39 67.50%),108 (0.90),12 (2-0-10 16.67%),8 (0.67)
50,"Clisby, Mitch",23y 189d,4 (1-0-3 25.00%),,←,
36,"Davey, Aaron",30y 33d,171 (62-3-106 37.13%),171 (1.00),←,
6,"Dawes, Chris",25y 58d,80 (55-1-24 69.38%),93 (1.16),9 (1-0-8 11.11%),10 (1.11)
14,"Dunn, Lynden",26y 60d,110 (30-2-78 28.18%),90 (0.82),←,
48,"Fitzpatrick, Jack",22y 17d,9 (1-0-8 11.11%),9 (1.00),←,
8,"Frawley, James",24y 296d,114 (31-1-82 27.63%),3 (0.03),←,
20,"Garland, Colin",25y 76d,95 (23-2-70 25.26%),13 (0.14),←,
37,"Gawn, Max",21y 195d,13 (4-0-9 30.77%),8 (0.62),←,
31,"Grimes, Jack",24y 63d,61 (14-2-45 24.59%),5 (0.08),←,
38,"Howe, Jeremy",23y 14d,50 (11-0-39 22.00%),60 (1.20),←,
45,"Jones, Matt",25y 268d,15 (2-0-13 13.33%),2 (0.13),←,
2,"Jones, Nathan",25y 174d,150 (37-3-110 25.67%),74 (0.49),←,
34,"Kent, Dean",19y 139d,8 (1-0-7 12.50%),3 (0.38),←,
25,"McDonald, Tom",20y 298d,32 (7-0-25 21.88%),,←,
26,"Nicholson, Daniel",22y 253d,30 (7-0-23 23.33%),4 (0.13),←,
12,"Sylvia, Colin",27y 247d,150 (48-2-100 32.67%),126 (0.84),←,
46,"Terlich, Dean",23y 212d,14 (2-0-12 14.29%),,←,
5,"Toumpas, Jimmy",19y 192d,9 (1-0-8 11.11%),,←,
9,"Trengove, Jack",21y 314d,72 (20-2-50 29.17%),37 (0.51),←,
4,"Watts, Jack",22y 109d,66 (18-2-46 28.79%),50 (0.76),←,
Totals,Totals,23y 339d,1401 (462-20-919 32.98%),878 (0.63),,
C,"Craig, Neil",57y 183d,170 (93-0-77 54.71%),,4 (1-0-3 25.00%),
