St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
10,"Baker, Steven",30y 34d,191 (103-2-86 54.45%),34 (0.18),←,
27,"Blake, Jason",29y 102d,174 (99-2-73 57.47%),33 (0.19),←,
26,"Dal Santo, Nick",26y 123d,181 (109-2-70 60.77%),98 (0.54),←,
24,"Dempster, Sean",26y 156d,83 (53-0-30 63.86%),14 (0.17),29 (18-0-11 62.07%),6 (0.21)
25,"Fisher, Sam",27y 350d,131 (86-1-44 66.03%),16 (0.12),←,
15,"Gardiner, Michael",30y 355d,170 (96-2-72 57.06%),107 (0.63),41 (30-0-11 73.17%),20 (0.49)
14,"Geary, Jarryn",22y 2d,36 (28-0-8 77.78%),9 (0.25),←,
19,"Gilbert, Sam",23y 310d,74 (51-1-22 69.59%),13 (0.18),←,
18,"Goddard, Brendon",25y 36d,150 (98-0-52 65.33%),70 (0.47),←,
33,"Gwilt, James",23y 318d,54 (38-0-16 70.37%),18 (0.33),←,
7,"Hayes, Lenny",30y 162d,227 (116-3-108 51.76%),74 (0.33),←,
4,"Jones, Clinton",26y 143d,63 (48-1-14 76.98%),18 (0.29),←,
23,"Koschitzke, Justin",27y 278d,152 (87-1-64 57.57%),182 (1.20),←,
5,"McEvoy, Ben",20y 349d,20 (19-0-1 95.00%),5 (0.25),←,
32,"McQualter, Andrew",24y 16d,72 (50-0-22 69.44%),36 (0.50),←,
44,"Milne, Stephen",30y 109d,201 (110-2-89 55.22%),409 (2.03),←,
11,"Montagna, Leigh",26y 235d,135 (88-1-46 65.56%),80 (0.59),←,
30,"Peake, Brett",26y 355d,85 (43-0-42 50.59%),48 (0.56),10 (9-0-1 90.00%),6 (0.60)
22,"Ray, Farren",24y 94d,112 (67-1-44 60.27%),39 (0.35),37 (32-0-5 86.49%),7 (0.19)
13,"Schneider, Adam",26y 44d,154 (101-1-52 65.91%),182 (1.18),56 (41-0-15 73.21%),83 (1.48)
28,"Stanley, Rhys",19y 206d,5 (5-0-0 100.00%),2 (0.40),←,
3,"Steven, Jack",20y 89d,4 (3-0-1 75.00%),7 (1.75),←,
Totals,Totals,25y 325d,2474 (1498-20-956 60.55%),1494 (0.60),,
C,"Lyon, Ross",43y 229d,85 (57-1-27 67.65%),,←,
