Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
31,"Alvey, Mark",21y 294d,20 (11-0-9 55.00%),7 (0.35),←,
11,"Bandy, Daniel",26y 133d,106 (33-0-73 31.13%),82 (0.77),1 (0-0-1 0.00%),2 (2.00)
18,"Bartlett, Trent",25y 125d,76 (36-2-38 48.68%),41 (0.54),37 (18-0-19 48.65%),33 (0.89)
17,"Brown, Nathan",24y 49d,94 (52-1-41 55.85%),95 (1.01),←,
16,"Croft, Matthew",29y 33d,150 (84-3-63 57.00%),53 (0.35),←,
14,"Darcy, Luke",26y 262d,134 (71-2-61 53.73%),92 (0.69),←,
28,"Dimattina, Paul",27y 129d,92 (52-1-39 57.07%),41 (0.45),←,
4,"Garlick, Simon",26y 355d,133 (73-1-59 55.26%),102 (0.77),89 (49-1-39 55.62%),75 (0.84)
13,"Giansiracusa, Daniel",20y 20d,13 (5-0-8 38.46%),11 (0.85),←,
3,"Grant, Chris",29y 108d,253 (134-4-115 53.75%),479 (1.89),←,
33,"Hargrave, Ryan",20y 248d,1 (0-0-1 0.00%),,←,
22,"Harrison, Ben",27y 73d,99 (48-0-51 48.48%),46 (0.46),23 (10-0-13 43.48%),7 (0.30)
25,"Hunter, Kingsley",26y 308d,80 (32-0-48 40.00%),110 (1.38),39 (18-0-21 46.15%),24 (0.62)
26,"James, Aaron",25y 151d,54 (22-2-30 42.59%),25 (0.46),1 (0-0-1 0.00%),
6,"Johnson, Brad",25y 256d,168 (87-3-78 52.68%),184 (1.10),←,
35,"Kretiuk, Steven",29y 270d,138 (80-2-56 58.70%),10 (0.07),←,
39,"Liberatore, Tony",36y 48d,268 (143-3-122 53.92%),95 (0.35),←,
23,"McMahon, Jordan",18y 308d,5 (2-0-3 40.00%),3 (0.60),←,
27,"Penny, Luke",21y 51d,30 (14-0-16 46.67%),3 (0.10),←,
30,"Robbins, Matthew",24y 327d,51 (27-1-23 53.92%),13 (0.25),44 (23-1-20 53.41%),13 (0.30)
5,"Smith, Rohan",28y 304d,192 (102-3-87 53.91%),187 (0.97),←,
7,"West, Scott",27y 137d,193 (100-2-91 52.33%),75 (0.39),←,
Totals,Totals,25y 331d,2350 (1208-30-1112 51.40%),1754 (0.75),,
C,"Wallace, Terry",43y 108d,128 (71-1-56 55.86%),,←,
