Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
11,"Bowden, Joel",26y 48d,167 (74-0-93 44.31%),141 (0.84),←,
7,"Brown, Nathan",26y 180d,154 (68-3-83 45.13%),230 (1.49),17 (4-0-13 23.53%),24 (1.41)
17,"Campbell, Wayne",31y 320d,272 (121-1-150 44.67%),159 (0.58),←,
6,"Chaffey, Mark",27y 94d,140 (58-0-82 41.43%),31 (0.22),←,
14,"Fiora, Aaron",23y 111d,77 (33-0-44 42.86%),25 (0.32),←,
19,"Fleming, Tim",26y 125d,31 (8-0-23 25.81%),8 (0.26),←,
2,"Gaspar, Darren",28y 80d,192 (85-0-107 44.27%),21 (0.11),171 (78-0-93 45.61%),20 (0.12)
20,"Hall, Ray",23y 286d,66 (26-0-40 39.39%),25 (0.38),←,
33,"Hartigan, Brent",19y 123d,16 (4-0-12 25.00%),2 (0.13),←,
44,"Houlihan, Adam",26y 124d,93 (42-1-50 45.70%),99 (1.06),32 (8-0-24 25.00%),24 (0.75)
31,"Hyde, Chris",21y 365d,27 (4-0-23 14.81%),4 (0.15),←,
23,"Jackson, Daniel",18y 105d,3 (0-0-3 0.00%),,←,
28,"Johnson, Kane",26y 146d,143 (66-0-77 46.15%),57 (0.40),39 (11-0-28 28.21%),13 (0.33)
27,"Krakouer, Andrew",21y 186d,53 (14-0-39 26.42%),51 (0.96),←,
40,"Moore, Kelvin",20y 136d,8 (0-0-8 0.00%),3 (0.38),←,
16,"Morrison, Shane",23y 211d,11 (5-1-5 50.00%),3 (0.27),6 (1-0-5 16.67%),3 (0.50)
35,"Newman, Chris",22y 82d,54 (14-0-40 25.93%),7 (0.13),←,
12,"Richardson, Matthew",29y 142d,191 (84-0-107 43.98%),571 (2.99),←,
18,"Rodan, David",20y 305d,57 (17-0-40 29.82%),42 (0.74),←,
25,"Schulz, Jay",19y 112d,18 (6-0-12 33.33%),11 (0.61),←,
32,"Tivendale, Greg",25y 111d,122 (49-0-73 40.16%),91 (0.75),←,
36,"Zantuck, Ty",22y 175d,66 (19-0-47 28.79%),20 (0.30),←,
Totals,Totals,24y 46d,1961 (797-6-1158 40.64%),1601 (0.82),,
C,"Frawley, Danny",40y 335d,110 (45-0-65 40.91%),,←,
