Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
12,"Blakey, John",34y 349d,338 (183-0-155 54.14%),107 (0.32),203 (131-0-72 64.53%),69 (0.34)
22,"Burton, Matthew",31y 50d,106 (42-0-64 39.62%),45 (0.42),36 (20-0-16 55.56%),13 (0.36)
18,"Carey, Wayne",30y 42d,238 (150-0-88 63.03%),656 (2.76),←,
23,"Clayton, Shane",22y 257d,80 (43-0-37 53.75%),30 (0.38),62 (41-0-21 66.13%),29 (0.47)
45,"Cochrane, Stuart",22y 353d,26 (13-0-13 50.00%),5 (0.19),←,
2,"Colbert, Leigh",26y 31d,132 (77-1-54 58.71%),62 (0.47),27 (15-0-12 55.56%),12 (0.44)
6,"Grant, Shannon",24y 80d,145 (91-1-53 63.10%),167 (1.15),87 (59-0-28 67.82%),129 (1.48)
29,"Harvey, Brent",23y 55d,101 (68-0-33 67.33%),109 (1.08),←,
34,"King, David",29y 123d,170 (112-0-58 65.88%),83 (0.49),←,
35,"Makepeace, Troy",22y 124d,31 (18-0-13 58.06%),10 (0.32),←,
5,"McCartney, Jason",27y 116d,159 (90-0-69 56.60%),53 (0.33),84 (56-0-28 66.67%),5 (0.06)
31,"McKernan, Corey",27y 201d,174 (117-0-57 67.24%),220 (1.26),←,
32,"Morrell, Digby",21y 271d,5 (3-0-2 60.00%),5 (1.00),←,
44,"Motlop, Shannon",22y 324d,34 (23-0-11 67.65%),21 (0.62),←,
28,"Pickett, Byron",23y 331d,90 (60-0-30 66.67%),23 (0.26),←,
3,"Rawlings, Brady",20y 28d,31 (23-0-8 74.19%),10 (0.32),←,
26,"Rocca, Saverio",27y 230d,169 (76-2-91 45.56%),539 (3.19),13 (6-0-7 46.15%),25 (1.92)
7,"Simpson, Adam",25y 142d,129 (89-0-40 68.99%),43 (0.33),←,
9,"Sinclair, Jess",22y 316d,60 (17-0-43 28.33%),29 (0.48),10 (4-0-6 40.00%),3 (0.30)
10,"Stevens, Anthony",30y 6d,232 (143-0-89 61.64%),102 (0.44),←,
40,"Teague, David",20y 64d,2 (2-0-0 100.00%),,←,
36,"Watt, Shannon",20y 224d,17 (10-0-7 58.82%),2 (0.12),←,
Totals,Totals,25y 119d,2469 (1450-4-1015 58.73%),2321 (0.94),,
C,"Pagan, Denis",53y 287d,209 (136-0-73 65.07%),,←,
