Notes,Previous,Current
Greater Western Sydney's lowest score conceded,"47 v Melbourne - R3,2014","23 v Richmond - R19,2016"
Greater Western Sydney's biggest win,"45 v Brisbane Lions - R13,2014","126 v Essendon - R23,2023"
