Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
16,"Brown, Luke",6,2,7,13,,,,6.0,2.0,,,2.0,,,,7.0,6.0,1.0,,,,,81.0
2,"Crouch, Brad",11,2,11,22,1,,,6.0,,4.0,4.0,1.0,,1.0,,7.0,14.0,,,,2.0,,73.0
32,"Dangerfield, Patrick",15,2,6,21,4,1.0,,4.0,1.0,4.0,3.0,4.0,2.0,2.0,3.0,12.0,9.0,,,,,,86.0
26,"Douglas, Richard",18,3,7,25,1,,,9.0,1.0,8.0,6.0,4.0,2.0,1.0,1.0,11.0,14.0,,,2.0,,1.0,88.0
45,"Henderson, Ricky",17,4,5,22,1,,,2.0,2.0,3.0,1.0,3.0,,,,7.0,12.0,,,4.0,,,80.0
24,"Jacobs, Sam",2,1,8,10,,,38.0,2.0,1.0,2.0,2.0,1.0,,1.0,,7.0,3.0,1.0,,2.0,,,87.0
10,"Jaensch, Matthew",14,7,4,18,,,,3.0,5.0,,1.0,,,,,5.0,12.0,1.0,,1.0,,1.0,80.0
4,"Jenkins, Josh",9,3,6,15,1,,11.0,6.0,1.0,3.0,1.0,3.0,1.0,,,6.0,8.0,1.0,1.0,1.0,,1.0,88.0
29,"Kerridge, Sam",8,3,6,14,1,,,7.0,2.0,1.0,4.0,1.0,,,,7.0,7.0,,1.0,2.0,,,89.0
46,"Laird, Rory",4,,4,8,,,,5.0,1.0,1.0,1.0,2.0,2.0,1.0,,7.0,1.0,,,2.0,,,81.0
27,"Lynch, Tom",10,6,9,19,1,,,4.0,,1.0,1.0,2.0,2.0,,,10.0,9.0,2.0,2.0,2.0,,,79.0
14,"Mackay, David",9,,10,19,1,,,3.0,1.0,3.0,5.0,2.0,1.0,,,7.0,12.0,,,,,,75.0
22,"Otten, Andy",15,5,10,25,,,,2.0,2.0,1.0,2.0,3.0,3.0,1.0,,14.0,10.0,1.0,,8.0,,1.0,84.0
23,"Petrenko, Jared",6,1,8,14,,1.0,,8.0,,3.0,,3.0,,1.0,,4.0,7.0,,,1.0,,1.0,90.0
40 ↑,"Porplyzia, Jason",3,,1,4,,,,,,2.0,,,,,,2.0,2.0,,,,,,18.0
3,"Reilly, Brent",10,3,8,18,,,,6.0,3.0,,,2.0,3.0,2.0,,13.0,6.0,1.0,,3.0,,,84.0
25,"Rutten, Ben",8,5,7,15,,,,4.0,4.0,2.0,,,,,,3.0,11.0,,,1.0,,,95.0
9,"Sloane, Rory",21,4,8,29,,,1.0,7.0,4.0,4.0,8.0,,,,2.0,17.0,10.0,1.0,,1.0,,,86.0
12,"Talia, Daniel",7,6,2,9,,,,3.0,2.0,,,,,,,3.0,5.0,1.0,,6.0,,,98.0
5,"Thompson, Scott",12,5,18,30,,1.0,,4.0,3.0,3.0,6.0,6.0,,4.0,,17.0,13.0,,1.0,3.0,,,90.0
13 ↓,"Walker, Taylor",6,4,8,14,1,,,3.0,,3.0,,3.0,2.0,1.0,,9.0,6.0,2.0,3.0,2.0,,2.0,79.0
11,"Wright, Matthew",14,3,5,19,,,,5.0,1.0,4.0,1.0,3.0,1.0,,,8.0,8.0,,,1.0,,1.0,89.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,225,69,158,383,12,8.0,50.0,99.0,36.0,52.0,46.0,45.0,19.0,15.0,6.0,183.0,185.0,12.0,8.0,42.0,2.0,8.0,
Opposition,Opposition,204,49,149,353,4,4.0,56.0,93.0,36.0,40.0,52.0,59.0,15.0,19.0,,185.0,155.0,11.0,3.0,47.0,,4.0,
