North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
5,"Anderson, Stuart",14,,7,21,,,,,,,,,1.0,1.0,,,,,,,,,
11,"Archer, Glenn",4,2,6,10,2,,,,,,,,,,,,,,,,,,
14,"Armstrong, Matt",14,,6,20,1,1.0,,3.0,,,,,,3.0,,,,,,,,,
26,"Bell, Peter",11,2,5,16,1,1.0,,2.0,,,,,,3.0,,,,,,,,,
16,"Capuano, Mathew",2,,,2,,,1.0,,,,,,1.0,,,,,,,,,,
18,"Carey, Wayne",20,11,7,27,1,2.0,,1.0,,,,,4.0,2.0,1.0,,,,,,,,
6,"Fairley, Ian",8,4,4,12,,,,1.0,,,,,1.0,1.0,,,,,,,,,
17,"Freeborn, Glenn",7,3,5,12,,,,,,,,,2.0,2.0,,,,,,,,,
34,"King, David",8,1,11,19,,,,,,,,,2.0,2.0,,,,,,,,,
7,"Laidley, Dani",12,5,6,18,,,,3.0,,,,,3.0,,,,,,,,,,
4,"Martyn, Mick",5,4,7,12,1,,,1.0,,,,,,,,,,,,,,,
19,"McFarlane, Sam",2,,2,4,,,,,,,,,,,,,,,,,,,
31,"McKernan, Corey",11,4,4,15,3,1.0,15.0,,,,,,1.0,,,,,,,,,,
13,"Nichols, Trent",4,,3,7,,,,,,,,,2.0,2.0,,,,,,,,,
20,"Reynolds, Keenan",6,2,,6,,1.0,,2.0,,,,,1.0,,,,,,,,,,
22,"Roberts, Mark",11,5,4,15,2,1.0,3.0,1.0,,,,,3.0,,,,,,,,,,
3,"Rock, Anthony",8,1,5,13,,1.0,,2.0,,,,,2.0,,,,,,,,,,
24,"Sholl, Craig",8,3,6,14,2,3.0,,1.0,,,,,4.0,3.0,,,,,,,,,
37,"Simpson, Adam",4,2,5,9,1,,,1.0,,,,,1.0,1.0,,,,,,,,,
15,"Smith, Ross",1,,3,4,,,,,,,,,,,,,,,,,,,
10,"Stevens, Anthony",19,4,6,25,1,,,4.0,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,179,53,102,281,15,14.0,19.0,22.0,,,,,28.0,20.0,1.0,,,,,,,,
Opposition,Opposition,206,87,113,319,13,15.0,15.0,28.0,,,,,20.0,28.0,5.0,,,,,,,,
