Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
8,"Bassett, Nathan",31y 183d,198 (112-0-86 56.57%),24 (0.12),←,
44,"Bock, Nathan",25y 79d,74 (43-0-31 58.11%),52 (0.70),←,
11,"Doughty, Michael",28y 307d,130 (82-0-48 63.08%),32 (0.25),←,
26,"Douglas, Richard",21y 122d,26 (16-0-10 61.54%),16 (0.62),←,
9,"Edwards, Tyson",31y 306d,277 (153-0-124 55.23%),171 (0.62),←,
36,"Goodwin, Simon",31y 164d,226 (131-0-95 57.96%),146 (0.65),←,
30,"Jericho, Luke",23y 233d,30 (18-0-12 60.00%),28 (0.93),←,
18,"Johncock, Graham",25y 230d,137 (80-0-57 58.39%),84 (0.61),←,
21,"Knights, Chris",21y 256d,40 (26-0-14 65.00%),8 (0.20),←,
14,"Mackay, David",19y 318d,11 (8-0-3 72.73%),,←,
20,"Maric, Ivan",22y 155d,18 (12-0-6 66.67%),9 (0.50),←,
16,"McGregor, Ken",27y 130d,152 (84-0-68 55.26%),114 (0.75),←,
23,"McLeod, Andrew",31y 308d,294 (161-0-133 54.76%),252 (0.86),←,
40,"Porplyzia, Jason",23y 193d,37 (25-0-12 67.57%),43 (1.16),←,
33,"Reilly, Brent",24y 208d,89 (54-0-35 60.67%),39 (0.44),←,
25,"Rutten, Ben",25y 10d,90 (59-0-31 65.56%),5 (0.06),←,
12,"Shirley, Robert",27y 364d,128 (74-0-54 57.81%),25 (0.20),←,
27,"Stevens, Scott",26y 144d,90 (46-1-43 51.67%),53 (0.59),65 (36-0-29 55.38%),36 (0.55)
5,"Thompson, Scott",25y 85d,120 (72-0-48 60.00%),92 (0.77),81 (54-0-27 66.67%),75 (0.93)
4,"Tippett, Kurt",21y 30d,11 (8-0-3 72.73%),14 (1.27),←,
7,"van Berlo, Nathan",22y 1d,64 (41-0-23 64.06%),17 (0.27),←,
17,"Vince, Bernie",22y 249d,21 (16-0-5 76.19%),12 (0.57),←,
Totals,Totals,25y 185d,2263 (1321-1-941 58.37%),1236 (0.55),,
C,"Craig, Neil",52y 148d,92 (59-0-33 64.13%),,←,
