West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
26,"Ball, Jason",7,4,7,14,1,,9.0,,,,,,1.0,3.0,,,,,,,,,
6,"Banfield, Drew",10,3,5,15,,,,2.0,,,,,,2.0,,,,,,,,,
32,"Blurton, Ashley",8,3,3,11,,,,3.0,,,,,1.0,,,,,,,,,,
29,"Donnelly, Andrew",3,1,2,5,,1.0,,,,,,,2.0,,,,,,,,,,
18,"Evans, Tony",8,4,8,16,,1.0,,2.0,,,,,1.0,2.0,,,,,,,,,
23,"Fewster, Brendon",12,7,5,17,,1.0,,,,,,,1.0,1.0,,,,,,,,,
7,"Gehrig, Fraser",7,7,4,11,2,,,,,,,,1.0,2.0,,,,,,,,,
27,"Jakovich, Glen",18,4,9,27,,,6.0,1.0,,,,,,2.0,3.0,,,,,,,,
2,"Kemp, Dean",10,2,9,19,1,1.0,,2.0,,,,,1.0,2.0,,,,,,,,,
5,"Lovell, Andy",4,3,,4,2,1.0,,1.0,,,,,,,,,,,,,,,
9,"Lyle, Brayden",21,8,12,33,,,,1.0,,,,,1.0,,,,,,,,,,
3,"Mainwaring, Chris",21,6,5,26,,,,1.0,,,,,3.0,2.0,,,,,,,,,
30,"Matera, Peter",15,5,5,20,,2.0,,,,,,,2.0,,,,,,,,,,
11,"McIntosh, Ashley",7,5,4,11,,,,1.0,,,,,2.0,2.0,,,,,,,,,
17,"McKenna, Guy",12,7,10,22,,,,3.0,,,,,5.0,1.0,2.0,,,,,,,,
8,"Metropolis, Daniel",14,7,3,17,2,2.0,,1.0,,,,,,1.0,,,,,,,,,
42,"Morrison, Chad",3,2,1,4,1,,,2.0,,,,,1.0,,,,,,,,,,
50,"Turnbull, Ryan",2,2,1,3,,,3.0,,,,,,,1.0,,,,,,,,,
39,"Waterman, Chris",15,10,4,19,,2.0,,,,,,,2.0,,,,,,,,,,
12,"White, Mitchell",9,3,1,10,,,,,,,,,1.0,,,,,,,,,,
24,"Worsfold, John",6,4,7,13,,,1.0,,,,,,3.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,212,97,105,317,9,13.0,19.0,20.0,,,,,28.0,22.0,5.0,,,,,,,,
Opposition,Opposition,171,68,95,266,6,9.0,21.0,25.0,,,,,22.0,28.0,1.0,,,,,,,,
